time_s,x,y,psi,u,v,r,f1,f2,f3,f4
0.0,0.0,-0.0,-0.0,0.0630136523668271,-0.0265582832843561,-0.1170338829853134,0.0,0.0,0.0,0.0
0.099963,0.004343034456530828,-0.014232547324728322,-0.011114250240979118,0.0624514358098189,-0.0445885734563204,-0.1145809531999884,0.0,0.0,0.0,0.0
0.200071,0.012641059418800381,0.00523256876142508,-0.02276707528314592,0.0672705924039828,-0.0101883727874961,-0.1154376878796846,0.0,0.0,0.0,0.0
0.299948,0.01437582337433801,-0.008078836947684543,-0.03456927176793423,0.0632521561872506,-0.0309869332970666,-0.115361600125602,0.0,0.0,0.0,0.0
0.400061,0.021070601176748055,0.00981046296920787,-0.048569284562410164,0.0616838861168522,0.0015641633792357,-0.1151770302916355,0.0,0.0,0.0,0.0
0.500077,0.020690452152313975,-0.007433766526201616,-0.05749226455371126,0.0577153142256688,-0.0286688216874919,-0.1139241246847682,0.0,0.0,0.0,0.0
0.600092,0.0324115522042892,-0.0016022392280480267,-0.06670069726990846,0.0675525994105409,-0.0138135835517387,-0.1105469327400144,0.0,0.0,0.0,0.0
0.699995,0.03476186106702848,-0.015661414448550796,-0.07733334885711995,0.0642852637557144,-0.0343951716331307,-0.1088977664199478,0.0,0.0,0.0,0.0
0.800177,0.04285612734103151,-0.010776164945860317,-0.08552504438401387,0.0680594485407128,-0.022362982711946,-0.1071793605028474,0.0,0.0,0.0,0.0
0.900036,0.043095096938866415,-0.026189731315085417,-0.09440565955114222,0.0629864792144082,-0.0435570608418491,-0.1043564792389719,0.0,0.0,0.0,0.0
0.999989,0.0553972790430626,-0.013717190634701271,-0.10585159651400389,0.0684251996869668,-0.0181843762781357,-0.1023224985813976,0.0,0.0,0.0,0.0
1.100102,0.0538561127836469,-0.02857044651761088,-0.11550360262675285,0.0621742299396919,-0.039221188775746,-0.1030950940820756,0.0,0.0,0.0,0.0
1.200017,0.06721294445695865,-0.019410855710315277,-0.12646592487889552,0.0733512205425658,-0.0181156438940729,-0.1051388935890897,0.0,0.0,0.0,0.0
1.299966,0.06886815034544563,-0.03050626600267858,-0.13818683531129494,0.0684772722085643,-0.0328837020928325,-0.1057626982021362,-0.0,-0.0,0.07380018383264542,-0.07380018383264542
