time_s,x,y,psi,u,v,r,f1,f2,f3,f4
0.0,0.0,-0.0,-0.0,0.0992112197941846,0.021423213589564,-0.0054555378772335,0.0,0.0,0.0,0.0
0.100008,0.016288807577086624,-0.005511028715267708,0.0009892539565447,0.1069201169879718,0.0092629352268059,-0.0006656522133248,0.0,0.0,0.0,0.0
0.200037,0.03249625599640001,-0.005641173137902224,0.007338559861342575,0.1196114058888436,0.00747776691126,0.0156981657546162,0.0,0.0,0.0,0.0
0.300176,0.048018697718162896,-0.014333451675522645,0.008889198506669804,0.1243439913924381,-0.006118049702279,0.0165380878145315,0.0,0.0,0.0,0.0
0.400066,0.06107003863681497,0.0016580073461137726,0.00755804798576698,0.127179701961388,0.0201180694397051,0.0071516597784274,0.0,0.0,0.0,0.0
0.50004,0.07518739864114471,-0.0021162770765826983,0.007901184751967882,0.1301960918984085,0.0110426089171651,0.0057062252941267,0.0,0.0,0.0,0.0
0.600073,0.0846802782926431,0.015089697388409554,0.00539875039767479,0.1292238398041957,0.0391764464037935,-0.0027699194305912,0.0,0.0,0.0,0.0
0.702987,0.09932538936990062,0.01262418544320306,0.005710581205468301,0.1301579426194205,0.0281431225537313,-0.00215871208668,0.0,0.0,0.0,0.0
0.800245,0.10920181641046756,0.019527209464024434,0.006138340816851828,0.1261367533075546,0.036543709771077,-0.0006161443474344,0.0,0.0,0.0,0.0
0.900167,0.1205828147195204,0.0097847475001488,0.00656729951342494,0.1257278267253986,0.0145904668197809,0.0014345875947961,0.0,0.0,0.0,0.0
1.002166,0.1333626544418505,0.007672340905317709,0.010395525660355509,0.1302909593833451,0.0098672694397705,0.0116392323302647,0.0,0.0,0.0,0.0
1.100053,0.1486354266252475,0.0015319428306520971,0.011684029977169663,0.1289536742564066,-0.0014602609414278,0.0122230953461984,0.0,0.0,0.0,0.0
1.200018,0.16211789478867678,0.008557881466171896,0.013093710094531419,0.136938907482619,0.0101636827931987,0.011818228391657,6.0,6.0,1.57119882106781,-1.57119882106781
1.300058,0.1741354474940229,0.004382239065913479,0.01427382246886233,0.1334078144414941,0.0014215968982305,0.0109227786152017,6.0,6.0,1.57119882106781,-1.57119882106781
1.400064,0.18472167682466037,0.021433423677537977,0.017388297683441634,0.1302229988695696,0.0294699647892785,0.0120643949436742,0.0,0.0,0.0,0.0
1.500061,0.20021540592658268,0.0156919993007624,0.0402599557829425,0.1356175418635571,0.0138471938824147,0.054612028693364,0.0,0.0,0.0,0.0
1.600068,0.2198647950064137,0.019405883187424366,0.06299115262447386,0.1508192357577633,0.0189856509843817,0.0909105079297218,0.0,0.0,0.0,0.0
