time_s,x,y,psi,u,v,r,f1,f2,f3,f4
0.0,0.0,-0.0,-0.0,-0.0585575126107208,-0.0195773910554318,-0.1924163409452911,0.0,0.0,0.0,0.0
0.100002,-0.005768003670622998,0.011401235243681744,-0.021303299788757002,-0.0577037271256314,0.0012831866548454,-0.1955466445051595,0.0,0.0,0.0,0.0
0.200109,-0.00576662915356631,0.0033250404911802276,-0.035752057969606454,-0.0497154292643028,-0.0103095029827395,-0.1899597498951213,0.0,0.0,0.0,0.0
0.300107,-0.008772060957424816,-0.0015737906521930782,-0.05417304763320141,-0.0463031925509342,-0.0159449437546556,-0.1888234578352786,0.0,0.0,0.0,0.0
0.400092,-0.019986777579833404,0.007482722594125074,-0.07257056944375107,-0.0557717462589816,-0.0041757696495432,-0.1902396653284437,0.0,0.0,0.0,0.0
0.500041,-0.02439667227611785,0.012294974088604695,-0.08989119526336475,-0.053675700957752,0.0026147963853751,-0.1893869989988186,0.0,0.0,0.0,0.0
0.600013,-0.02763153147628154,0.0011015347084721303,-0.10802769664584755,-0.0490877163815137,-0.0144143131435784,-0.1853538325234777,0.0,0.0,0.0,0.0
0.700091,-0.03077287168645127,-0.007721351151608069,-0.12502964021753238,-0.0452694274580148,-0.0261186160872508,-0.1825973979143295,0.0,0.0,0.0,0.0
0.800082,-0.0366477560135855,-0.0017333648210246717,-0.13427240367395576,-0.0463677570250456,-0.0188969595942444,-0.1696965709965125,0.0,0.0,0.0,0.0
0.899997,-0.040629552349902155,-0.010471369971522218,-0.1507923935008746,-0.0434233521773692,-0.0308059877951961,-0.1691233155496085,0.0,0.0,0.0,0.0
1.000036,-0.04395072943960145,-0.0014601135930661802,-0.17114649167264862,-0.0431076020000445,-0.0155772691410243,-0.1753788603300795,0.0,0.0,0.0,0.0
1.100033,-0.04909269181429877,-0.01074768497908089,-0.18638672827980907,-0.0424611016570418,-0.0284474688888088,-0.1712879789899818,0.0,0.0,0.0,0.0
1.200057,-0.05162571262384146,0.004558846164542854,-0.20125308052142588,-0.0427199464779351,-0.0046810679421883,-0.1669914526864317,0.0,0.0,0.0,0.0
