time,.data
2025/09/16/14:19:54.200703,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:54.300254,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:54.400286,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:54.504204,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:54.600326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:54.700273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:54.800317,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:54.900295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.000487,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.100251,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.200333,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.300279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.400287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.502624,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.600291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.700247,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.800267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:55.900314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.000312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.100262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.200314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.308834,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.400280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.500357,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.600289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.700708,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.800317,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:56.900320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.000312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.100291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.200544,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.303906,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.400267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.503507,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.600261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.700292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.800433,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:57.900338,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.000338,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.100288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.200313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.300299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.400292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.502506,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.600345,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.700481,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:19:58.801215,"(2.0419707184164144, 0.4623770812632738, 4.04400948720317, 0.8848222142891871)"
2025/09/16/14:19:58.900256,"(1.9862924032426132, 0.21775393948552518, 4.348154862882378, 0.8110779477783202)"
2025/09/16/14:19:59.000272,"(1.9872715535008427, 0.30005638055208295, 4.0568892266131895, 0.6824588807157875)"
2025/09/16/14:19:59.100419,"(2.000264229356478, 0.6606801539744953, 4.092484624960302, 1.4133164741962378)"
2025/09/16/14:19:59.200953,"(2.1322324141048425, 0.8070609759945848, 4.2358422431469, 1.5854993669793458)"
2025/09/16/14:19:59.301195,"(2.038295705811336, 0.7717438757408096, 3.868018946171745, 1.3349152860304467)"
