time,.data
2025/09/16/14:15:39.600301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:39.700678,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:39.800312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:39.900283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.000278,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.100284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.200270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.300282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.400247,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.500268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.600397,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.700400,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:15:40.800256,"(1.9736179677811871, 0.6318583310849992, 4.12462147975655, 1.4411022063832353)"
2025/09/16/14:15:40.900298,"(1.8471642383182472, 0.28731899488906687, 3.944529723388204, 0.8248392365298403)"
2025/09/16/14:15:41.000368,"(1.9039358756634681, 0.07848669134200081, 4.541781784653207, 0.8908834160102875)"
2025/09/16/14:15:41.100261,"(2.2416992422877793, 0.7712271730929818, 3.75726870119356, 0.8163245660250693)"
2025/09/16/14:15:41.200800,"(2.3275325966430733, 0.9764096955424899, 3.377354060636755, 0.6751082584356046)"
2025/09/16/14:15:41.300335,"(2.505344908533764, 1.0661042494701887, 4.4690488397500365, 1.5905675216228536)"
2025/09/16/14:15:41.400381,"(2.3653485313687215, 1.524947749838517, 3.195897645711119, 1.5150961036367012)"
2025/09/16/14:15:41.500306,"(2.430976309976215, 1.6192483774744508, 3.081123961635847, 1.4576680966323217)"
2025/09/16/14:15:41.600285,"(2.073715941039425, 1.5681396601602262, 2.575029026066023, 1.5638764643075962)"
2025/09/16/14:15:41.700267,"(2.3018244324620656, 1.9821937962777354, 2.646194196789906, 2.0069329244212866)"
2025/09/16/14:15:41.800303,"(2.282661895086989, 2.41207452750314, 1.6812586545191057, 1.9400839193514308)"
2025/09/16/14:15:41.900273,"(2.3299032120260397, 2.4686207787025003, 1.2868966948999636, 1.5643318282528784)"
2025/09/16/14:15:42.000299,"(2.044405817617962, 2.354551007783249, 1.1589646420034418, 1.7792550223340118)"
2025/09/16/14:15:42.100292,"(2.067747237358857, 2.809452891703863, 0.2629125369742584, 1.7463238456830894)"
2025/09/16/14:15:42.200293,"(2.0639087454121867, 2.9278986413323564, -0.21680854153361756, 1.5111712503067252)"
2025/09/16/14:15:42.300278,"(1.577703490642957, 2.526795277423429, -0.4299658060480933, 1.468217767512855)"
2025/09/16/14:15:42.400303,"(1.5430845685488999, 2.720745488655911, -1.3424128870159788, 1.0129089531980604)"
2025/09/16/14:15:42.500277,"(1.5466799437669756, 2.6703915944467718, -1.1746136251856778, 1.072809676173907)"
2025/09/16/14:15:42.600312,"(1.2564802220498947, 2.5849956576693707, -1.2107543273579924, 1.4462765438809442)"
2025/09/16/14:15:42.700296,"(1.0249423203777486, 2.3111301438543093, -1.400671880551677, 1.171703766401507)"
2025/09/16/14:15:42.800249,"(0.9667982533367523, 2.2403489979027427, -1.6059268405952816, 0.9411746485367076)"
2025/09/16/14:15:42.900280,"(0.779714361896419, 2.084709120310281, -1.9605515222678704, 0.6494379945598676)"
2025/09/16/14:15:43.000308,"(0.9263763700135271, 2.083831128747772, -1.680391152715824, 0.634518364752665)"
2025/09/16/14:15:43.100329,"(0.8030341849381538, 1.8620646086808348, -1.7812064518169297, 0.33685439566841324)"
2025/09/16/14:15:43.200485,"(0.9911374974302345, 1.7878265453801445, -1.8653457144003118, -0.27196761850052964)"
2025/09/16/14:15:43.300264,"(0.9310869393530018, 1.5916814301268476, -1.5438059916869937, -0.22261701013929175)"
2025/09/16/14:15:43.400271,"(0.6525359196913245, 1.275292637100625, -1.4959812434130382, -0.25046780859445683)"
2025/09/16/14:15:43.500329,"(1.0580306620177375, 1.3962681680622044, -1.2927457613017836, -0.6162707492128459)"
2025/09/16/14:15:43.600303,"(0.8017491919654192, 0.9425469582430452, -1.0030798344745924, -0.7214843019192921)"
2025/09/16/14:15:43.700273,"(1.3350030937988868, 1.3106216314902048, -1.3621347922467748, -1.4108977168641028)"
2025/09/16/14:15:43.800277,"(1.3242339377506605, 1.1240548937211057, -0.8729374000482812, -1.2732954881073844)"
2025/09/16/14:15:43.900278,"(1.1269766412126603, 0.9266402851177598, -0.40476730053621474, -0.8054400127260414)"
2025/09/16/14:15:44.000332,"(1.2513322035064165, 1.0425627529298591, -0.6542462615393413, -1.0717851626924406)"
2025/09/16/14:15:44.100245,"(1.0783570265007112, 0.7069688318271583, 0.008749484967198629, -0.7340269043799105)"
2025/09/16/14:15:44.207118,"(1.4286155742625577, 0.9275182446467276, 0.07203468718903676, -0.9301599720426297)"
2025/09/16/14:15:44.300622,"(1.452670007369754, 0.840232017901819, 0.054738742964922885, -1.1701372359709226)"
2025/09/16/14:15:44.400276,"(1.2830015382066209, 0.5065876884283669, 0.5457555729100652, -1.007072126646487)"
2025/09/16/14:15:44.500326,"(1.4797443099621312, 0.8662386107053734, 0.1081856036451872, -1.1188257948683178)"
2025/09/16/14:15:44.600300,"(1.659428096891863, 1.0435475539678447, 0.13215457816932966, -1.0996065076787143)"
2025/09/16/14:15:44.700299,"(1.6804664857935383, 1.2667393653018542, -0.49368688371172875, -1.32114112469502)"
2025/09/16/14:15:44.800306,"(1.5760036687181982, 1.425092264771741, -0.9229072404994088, -1.2247300483923438)"
2025/09/16/14:15:44.900294,"(1.5515334301862875, 1.3133852899046317, -0.4969449013079243, -0.9732411818712239)"
2025/09/16/14:15:45.000287,"(1.6701947495430252, 1.539015008268872, -0.93531491000538, -1.197674392553707)"
2025/09/16/14:15:45.100303,"(1.2984521103756759, 1.3298091625923594, -1.3233530939323446, -1.2606389894989716)"
2025/09/16/14:15:45.200306,"(1.3289893826448145, 1.27020779935287, -0.8666372058093208, -0.984200372393234)"
2025/09/16/14:15:45.300266,"(1.4120087478731902, 2.0244250340287797, -2.016852538376592, -0.7920199660675973)"
2025/09/16/14:15:45.400272,"(1.4267316929241145, 1.855452325241255, -1.6279305981587204, -0.7704893335244901)"
2025/09/16/14:15:45.500281,"(1.690190065621541, 2.2517602975396023, -2.334235388641937, -1.2110949248103597)"
2025/09/16/14:15:45.600282,"(1.5171163986652014, 1.955954955555704, -1.6714734291067428, -0.793796315325661)"
2025/09/16/14:15:45.700380,"(1.7734334241454452, 2.2737505523416606, -1.7922899952700635, -0.7916557388776077)"
2025/09/16/14:15:45.800309,"(1.6515793164911505, 2.1241473620565015, -1.7839331245801249, -0.8387970334494246)"
2025/09/16/14:15:45.900308,"(1.910849046600262, 2.381793890918136, -1.9853923947346743, -1.0435027060989208)"
2025/09/16/14:15:46.003281,"(1.7095353861271296, 2.0268281346639028, -1.6821259269035267, -1.0475404298300075)"
2025/09/16/14:15:46.100312,"(1.879527192980625, 2.018532114502464, -1.5089777995977274, -1.230967956554019)"
2025/09/16/14:15:46.200312,"(1.9971151889987577, 2.018603456787616, -1.171172006415837, -1.1281954708380975)"
2025/09/16/14:15:46.300285,"(2.087611781661873, 1.964620339062444, -0.8513189541257873, -1.0973018393246787)"
2025/09/16/14:15:46.400268,"(2.3995297779530156, 2.1926379112145797, -0.6799492127322635, -1.0937329462091339)"
2025/09/16/14:15:46.500342,"(2.2443615626880282, 1.974820001301686, -0.4403774028578299, -0.979460525630517)"
2025/09/16/14:15:46.600393,"(2.310825895323136, 2.002088082980746, -0.3180710565796856, -0.9355466812644672)"
2025/09/16/14:15:46.700298,"(2.3582459478167546, 2.0757169338354866, -0.23967572465301812, -0.8047337526155529)"
2025/09/16/14:15:46.800282,"(1.8901070121976842, 1.6638753283368513, 0.004004379746344849, -0.4484589879753599)"
2025/09/16/14:15:46.900358,"(2.0238095810569225, 1.8799003760320367, 0.013403222907497377, -0.27441518714228813)"
2025/09/16/14:15:47.000311,"(2.040446981599231, 1.64498512845112, 0.12308898298398785, -0.6678347233121795)"
2025/09/16/14:15:47.100301,"(1.8407284870308585, 1.4721672171050184, 0.3481985911470936, -0.38892394870449204)"
2025/09/16/14:15:47.200301,"(1.906374408590219, 1.508600688760317, 0.4607631179486439, -0.3347843217111309)"
2025/09/16/14:15:47.300291,"(2.2224495197650427, 1.718073555256361, 0.26528461421764304, -0.7434673147996852)"
2025/09/16/14:15:47.400300,"(1.7132799393683726, 1.3360900920631587, 0.1657290266253591, -0.5886506679850705)"
2025/09/16/14:15:47.500293,"(2.088990545008151, 1.5862322413110423, 0.43246785527747866, -0.573048752116745)"
2025/09/16/14:15:47.600288,"(1.5597927505839546, 1.1415975219660397, 0.5614863358481492, -0.274904121387761)"
2025/09/16/14:15:47.700309,"(1.356400772653787, 0.9260452668159171, 0.3301309417561651, -0.5305800699195661)"
2025/09/16/14:15:47.800281,"(1.864480953293471, 1.4582155091996793, 0.7413554771370978, -0.07117541105042907)"
2025/09/16/14:15:47.900252,"(1.5380202878762534, 1.1006438905784666, 0.5085789812599316, -0.36617381333564886)"
2025/09/16/14:15:48.000242,"(1.171662179112629, 0.624125312539868, 0.8927869898319187, -0.20228674331358681)"
2025/09/16/14:15:48.100300,"(1.3653482823671796, 0.8893206856081869, 0.42518251719566813, -0.5268726763222726)"
2025/09/16/14:15:48.200277,"(1.2615795332490478, 0.73841357214525, 0.5554613342633462, -0.4908705879442689)"
