time,.data
2025/09/16/14:14:13.900282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.000351,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.100270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.200303,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.300301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.400337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.500296,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.600255,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.700264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.800242,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:14.900329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.000287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.100292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.200339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.300304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.400259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.500266,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.600300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.700318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.800304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:15.900281,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.000283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.100392,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.200272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.300323,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.400412,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.500242,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.600331,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.700279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.800297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:16.900275,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.000295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.100319,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.200291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.300265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.400336,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.500300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.600294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:14:17.700278,"(0.0, 0.0, 0.0, 0.0)"
