time,.data
2025/09/16/14:22:21.200274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:21.300257,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:21.400297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:21.500369,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:21.600298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:21.700371,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:21.800419,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:21.900288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.000283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.100332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.200637,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.300361,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.400630,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.500294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.600259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.700263,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.800260,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:22.900260,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.000287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.100249,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.200287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.300287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.400259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.516206,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.600313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.700322,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.800545,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:23.900270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.000287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.100273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.200371,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.300440,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.400267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.500307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.600265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.700261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.800324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:24.900264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:25.003953,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:25.100326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:25.200351,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:25.300315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:22:25.400984,"(0.0, 0.0, 0.0, 0.0)"
