time,.data
2025/09/16/14:16:35.800272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:35.900301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.000279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.100307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.200369,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.300257,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.400423,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.500339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.600270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.700268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.800283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:36.900329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.000710,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.106240,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.200262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.300283,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.400276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.500279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.600291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.700271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.800729,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:16:37.900258,"(2.1108719969596863, 0.5562704821852279, 4.058346838268273, 0.9491438438699255)"
2025/09/16/14:16:38.000289,"(1.9508625559522366, 0.34769802915965975, 4.099280152092201, 0.8929510985189298)"
2025/09/16/14:16:38.100277,"(2.1633081381540253, 0.5388655770100583, 4.564311069316574, 1.3154259470286382)"
2025/09/16/14:16:38.200294,"(2.2643282683310124, 0.4623891157772141, 4.9921314632191125, 1.3882531581115316)"
2025/09/16/14:16:38.300293,"(2.0483162307050313, 0.6729128511684451, 4.181770152707624, 1.4309633936344581)"
2025/09/16/14:16:38.400340,"(2.479187059045394, 1.3542729697897138, 3.4799236041523, 1.2300954255102128)"
2025/09/16/14:16:38.500316,"(2.2542123943795978, 1.330891756079719, 3.0737059862534046, 1.2270647096536724)"
2025/09/16/14:16:38.600270,"(2.2809769137482023, 1.659001208193657, 2.799487868517697, 1.5555364574085802)"
2025/09/16/14:16:38.700279,"(1.974349984984746, 1.4035219072322298, 2.673857785486632, 1.532201629981605)"
2025/09/16/14:16:38.800299,"(2.1388915277109715, 1.7010161526708352, 2.3583300601544015, 1.4825793100741311)"
2025/09/16/14:16:38.900331,"(2.024275606921897, 2.0407509539518447, 1.3462229149229963, 1.3791736089829025)"
2025/09/16/14:16:39.000263,"(2.00233574306144, 2.1755734250090257, 1.1072186181134447, 1.4536939820086177)"
2025/09/16/14:16:39.100283,"(2.1480621360969385, 2.773419576277976, 0.5412885470474554, 1.7920034274339192)"
2025/09/16/14:16:39.200255,"(1.6165768015960922, 2.3700994399778907, -0.08791386442837501, 1.419131412335208)"
2025/09/16/14:16:39.300310,"(1.51139469533602, 2.270923128598581, -0.04807125153915607, 1.4709856149859617)"
2025/09/16/14:16:39.400263,"(1.7842356281911582, 2.7227850257067128, -0.1875512184800934, 1.6895475765511687)"
2025/09/16/14:16:39.500270,"(1.2188611315390583, 2.6194011673940065, -1.693909974349442, 1.1071700973488192)"
2025/09/16/14:16:39.600300,"(1.684326459754777, 2.6690564432198096, -1.451630866328139, 0.517829100601931)"
2025/09/16/14:16:39.700277,"(1.380372001825113, 2.439704335804114, -1.4556717593728425, 0.6629929085851518)"
2025/09/16/14:16:39.800302,"(1.454497627739465, 2.5226490055605097, -1.637675443528383, 0.4986273121136931)"
2025/09/16/14:16:39.900290,"(0.9427226746218544, 2.001390421228764, -1.6523322429177398, 0.465003250296061)"
2025/09/16/14:16:40.002472,"(0.9160034432874571, 1.895666531278685, -1.707934469207292, 0.25139170677513045)"
2025/09/16/14:16:40.100267,"(1.0269822971951068, 1.8178492292488615, -1.4168499613810543, 0.1648839027264483)"
2025/09/16/14:16:40.200317,"(0.9613243329143784, 1.7347249060223908, -1.6793463581307906, -0.1325452119147739)"
2025/09/16/14:16:40.305602,"(0.8127817171202696, 1.4576098920641996, -1.1144740640221127, 0.17518228586575843)"
2025/09/16/14:16:40.400287,"(0.7972654146346505, 1.4071984672099895, -1.2810680026659622, -0.06120189751525787)"
2025/09/16/14:16:40.500269,"(0.7747365334099472, 1.246729932513622, -1.2901798603400347, -0.3461930621326923)"
2025/09/16/14:16:40.600346,"(0.6229744025462988, 0.9273807817007969, -0.8870568473875933, -0.2782440890785952)"
2025/09/16/14:16:40.700266,"(0.5024001735570445, 0.8188741234425909, -1.33173145897116, -0.6987835592001093)"
2025/09/16/14:16:40.800282,"(1.048312088977799, 1.1175659294760982, -0.727576111275374, -0.5890684302787342)"
2025/09/16/14:16:40.900288,"(0.9260873206605347, 1.0627564238273264, -0.9675953577888166, -0.6942571514552055)"
2025/09/16/14:16:41.000288,"(1.0134188730931277, 0.9403315755204407, -0.45474518056535707, -0.6009197757107421)"
2025/09/16/14:16:41.100304,"(1.083533359592159, 0.9368241830724059, -0.621668566355388, -0.9150869193949281)"
2025/09/16/14:16:41.200279,"(1.3027450548803705, 0.9140831495377124, -0.0962974979513398, -0.8736213086366558)"
2025/09/16/14:16:41.300292,"(1.5779752802810612, 1.0750588689968579, 0.15054385865725978, -0.8552889639111483)"
2025/09/16/14:16:41.400279,"(1.8193242129362799, 1.1635008750549112, 0.4153256899482997, -0.8963209858144238)"
2025/09/16/14:16:41.500291,"(1.4811403287896452, 0.8928852462666246, -0.20202121076435992, -1.3785313758103233)"
2025/09/16/14:16:41.600327,"(1.8664303542984635, 1.2025135247016032, -0.1858071527637617, -1.513640811957514)"
2025/09/16/14:16:41.700284,"(1.8160999243336866, 1.3145563226645167, -0.6214283146735343, -1.6245155180118491)"
2025/09/16/14:16:41.800334,"(2.186236004921406, 1.5965654785474122, -0.7269200287741984, -1.90626108152217)"
2025/09/16/14:16:41.900298,"(1.9641963468039725, 1.3721457595304474, -0.36143413425633, -1.545535308803279)"
2025/09/16/14:16:42.000298,"(1.962476819317478, 1.290911559221047, -0.598016094246765, -1.9411466144395702)"
2025/09/16/14:16:42.100281,"(2.177392606045263, 1.3754087124288918, -0.27424073292775547, -1.8782085201604704)"
