time,.data
2025/09/16/14:21:33.300359,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:33.400273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:33.500257,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:33.600330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:33.700252,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:33.800251,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:33.900351,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.000262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.100280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.200417,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.300349,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.400289,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.500272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.600265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.700333,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.800299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:34.900609,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.000337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.100320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.201560,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.300305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.400312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.500293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.600424,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.700326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.800262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:35.900300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.000273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.100267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.200268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.300287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.400284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.500274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.600285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.700285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.800267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:36.900293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.000300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.101095,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.203801,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.300287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.400318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.500316,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.602769,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.701144,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.800315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:37.900296,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:38.000307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:38.100326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:38.201381,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:21:38.300275,"(1.741366797344763, 0.4458512311229959, 3.9351399074918545, 1.3441087750482845)"
2025/09/16/14:21:38.400280,"(2.0601555611940956, 0.31741993519578693, 4.2515726657930495, 0.7661014238356668)"
2025/09/16/14:21:38.500314,"(1.9267119739471674, 0.24055727317984113, 3.9279133752018938, 0.5556039736675703)"
2025/09/16/14:21:38.600294,"(2.1619009466453636, 0.687795879859922, 3.8906416602144622, 0.9424315266435508)"
2025/09/16/14:21:38.700273,"(2.0119814681653705, 0.40165179332151646, 4.215484812345138, 0.9948254642797566)"
2025/09/16/14:21:38.800264,"(1.9915001692282575, 1.1895379337681855, 3.149381427527433, 1.5454569567408447)"
2025/09/16/14:21:38.900284,"(2.4157650527155017, 1.5228143289404317, 3.632954308562092, 1.8470528611874169)"
2025/09/16/14:21:39.000326,"(2.0378687887022253, 1.5407873423785148, 2.8761566779665726, 1.8819937853190476)"
2025/09/16/14:21:39.100264,"(2.2818686054239747, 1.9801748626873559, 2.326311222201929, 1.7229237367286856)"
2025/09/16/14:21:39.200304,"(2.1890205059432586, 2.146809038238916, 2.0650657140827477, 1.9806427786740541)"
2025/09/16/14:21:39.300389,"(2.3645358602849056, 2.268308986071994, 2.102115232007785, 1.9096614835819643)"
2025/09/16/14:21:39.400295,"(2.411647029089883, 2.833343397799635, 1.1410464457062073, 1.9844391831524442)"
2025/09/16/14:21:39.500286,"(2.0380908139856526, 2.7160861124512725, 0.40962461106507564, 1.765615207996324)"
2025/09/16/14:21:39.600297,"(2.3273794324317247, 3.0094488980613563, 0.21136251835703881, 1.575501449616378)"
2025/09/16/14:21:39.700303,"(1.9151822700361436, 2.6938311142842317, -0.23699497068755024, 1.320302717808635)"
2025/09/16/14:21:39.801051,"(1.9119170782817856, 2.659063051920004, -0.2920657108564358, 1.2022262364200098)"
2025/09/16/14:21:39.900304,"(1.311033507038542, 2.656298185531713, -1.991028128265643, 0.6995012286942239)"
2025/09/16/14:21:40.000458,"(1.7519614026140964, 2.672509829353105, -1.2962928271539091, 0.5448040263241067)"
2025/09/16/14:21:40.100280,"(1.1008968821429614, 2.212612708043055, -1.7537223445276235, 0.46970930727257165)"
2025/09/16/14:21:40.200355,"(1.1937294644712746, 2.3140331551357978, -1.7558290675541155, 0.48477831377496544)"
2025/09/16/14:21:40.300285,"(0.8705270565785037, 1.9635856069187703, -1.8617428954457884, 0.32437420523474736)"
2025/09/16/14:21:40.400306,"(1.0835039832590252, 2.0830519396611566, -1.82028123376771, 0.17881467903655165)"
2025/09/16/14:21:40.500275,"(0.7795541589353062, 1.8958995171966586, -2.0462366838700223, 0.18645403265269536)"
2025/09/16/14:21:40.600298,"(0.7803146521078467, 1.5946066389114792, -1.7492755719734903, -0.1206915983662348)"
2025/09/16/14:21:40.700283,"(0.7109992806332391, 1.4156919709206908, -1.960635688511474, -0.5512503079366795)"
2025/09/16/14:21:40.800440,"(0.7954430444910047, 1.4112583513529293, -2.089742584740474, -0.8581119710166623)"
2025/09/16/14:21:40.900279,"(0.5680973854256217, 1.0281043131125522, -1.8044705038453146, -0.8844566484714365)"
2025/09/16/14:21:41.005659,"(1.08797849756988, 1.1852949960312087, -1.2831090472510516, -1.0884760503283797)"
2025/09/16/14:21:41.100332,"(0.8320645652809047, 1.0397913877722436, -1.6424688978917084, -1.2270152529089664)"
2025/09/16/14:21:41.201794,"(1.3363766792662308, 1.0762023513900107, -1.376703185354947, -1.8970518411073378)"
2025/09/16/14:21:41.300719,"(1.0065194429625692, 0.9768421100193373, -1.4409139359637726, -1.5002686018502245)"
2025/09/16/14:21:41.400275,"(1.4186308210175949, 1.092393845897584, -1.1075160929755297, -1.7599900432155493)"
2025/09/16/14:21:41.500288,"(1.3638152193255761, 1.0719613236089682, -0.8064098338140553, -1.3901176252472616)"
2025/09/16/14:21:41.600266,"(1.7372802810379717, 1.4195055095600702, -0.5764605621775456, -1.2120101051332879)"
2025/09/16/14:21:41.700257,"(1.627674049866473, 1.2281000488417346, -0.6603931396882188, -1.459541141737722)"
2025/09/16/14:21:41.803292,"(1.4186773744287322, 0.8171275939028013, -0.12786292423217538, -1.3309624852840303)"
2025/09/16/14:21:41.900324,"(1.603226420811832, 1.151820483724649, -0.19611140640286642, -1.0989232805772564)"
2025/09/16/14:21:42.000337,"(1.6878740669120216, 1.2121453870472403, -0.1831041483853998, -1.1345615081149911)"
2025/09/16/14:21:42.100307,"(1.6495465316069733, 1.0877817208396876, 0.34018278475467034, -0.7833468367799536)"
2025/09/16/14:21:42.200352,"(1.3141227412345988, 1.264025798752824, -0.17763730097819364, -0.27783118594176637)"
2025/09/16/14:21:42.300281,"(1.4480950903543142, 1.3635982022501605, -0.42843500980308524, -0.5974287860114209)"
2025/09/16/14:21:42.400345,"(1.6322116299038105, 1.4825184034048289, -0.46532567398634633, -0.7647121269843081)"
2025/09/16/14:21:42.500318,"(1.5875143760265789, 1.7889946787354136, -0.9097082950672819, -0.5067476896495567)"
2025/09/16/14:21:42.600299,"(1.6871739003606396, 1.7894923901840838, -0.7055883800439524, -0.5009514003970558)"
2025/09/16/14:21:42.700327,"(1.8559611178993594, 2.086646824391985, -1.0383735653097141, -0.5770021523244941)"
2025/09/16/14:21:42.800314,"(1.6314832403336927, 1.868077009085817, -1.4809219971951983, -1.0077344596908837)"
2025/09/16/14:21:42.900293,"(1.839689342681894, 2.165057492598898, -1.5026970430742326, -0.8519607432402487)"
2025/09/16/14:21:43.000308,"(1.8994210257648092, 2.3122466301339544, -1.6297171055662245, -0.8040658968279115)"
2025/09/16/14:21:43.100269,"(1.930813435916116, 2.2444844629685803, -1.6673566675772746, -1.0400146134722956)"
2025/09/16/14:21:43.200323,"(1.8195573094515045, 2.1277667478461417, -1.2483250516074091, -0.6319061748180986)"
2025/09/16/14:21:43.313939,"(1.6683891291919999, 1.8126761293142541, -1.0662958091955157, -0.7777218089510576)"
2025/09/16/14:21:43.400352,"(2.0544138134717675, 1.8418652945926295, -1.064326938883827, -1.4894239766420447)"
2025/09/16/14:21:43.500305,"(2.344383277651175, 2.078205104866892, -1.1313529447494488, -1.6637092903180013)"
2025/09/16/14:21:43.600307,"(2.149350781936447, 1.5864497046614678, 0.009533806896543151, -1.1162683476533233)"
2025/09/16/14:21:43.701667,"(2.35416147702238, 1.8278482685154647, 0.2290300824683388, -0.8235963345454878)"
2025/09/16/14:21:43.800354,"(2.482082041094991, 2.0240328839642068, 0.012400016912347961, -0.9036982973492532)"
2025/09/16/14:21:43.900304,"(2.0453757800901227, 1.6987458504979187, -0.08997255506436269, -0.783232414248771)"
2025/09/16/14:21:44.000327,"(2.3277915501311783, 1.95658361501835, 0.17886186041826968, -0.5635540098073328)"
2025/09/16/14:21:44.100318,"(2.0061981953605366, 1.7148799708279514, 0.08430770561542016, -0.49832874344974304)"
2025/09/16/14:21:44.200461,"(1.610381392298485, 1.3382910276306392, 0.5501328156856395, 0.005952086350184571)"
2025/09/16/14:21:44.300271,"(1.9344626266821696, 1.9796062233337868, -1.0650174979355844, -0.9747303046324496)"
2025/09/16/14:21:44.400275,"(1.774605810351297, 1.4541844015651535, -0.6717140064955343, -1.31255682406783)"
