time,.data
2025/09/16/14:23:19.400307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:19.500392,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:19.600305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:19.700276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:19.802556,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:19.900291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.000264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.100578,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.200325,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.300296,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.400308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.500285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.600309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.700306,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:23:20.800342,"(2.455522877592941, 1.034828950082181, 3.8722632535788293, 1.0308754020979323)"
2025/09/16/14:23:20.900288,"(1.7250580600733734, -0.03960040575390855, 4.375387704799618, 0.8460707731450674)"
2025/09/16/14:23:21.000352,"(2.0634708307226903, 0.4034356213995995, 4.389303404293587, 1.0692329856474123)"
2025/09/16/14:23:21.100323,"(1.884625639148904, 0.30296809440823413, 3.8268374037227684, 0.6635223142725934)"
2025/09/16/14:23:21.200249,"(2.010116791858959, 0.4642186622327574, 4.223045513848109, 1.1312492607602578)"
2025/09/16/14:23:21.300284,"(1.936804855235111, 0.773974573649524, 3.4175080013189527, 1.0918474381726753)"
2025/09/16/14:23:21.400264,"(2.5728481587796512, 1.5269284326101586, 3.599944142840512, 1.508104690491844)"
2025/09/16/14:23:21.500303,"(2.1889101920983243, 1.276826625774437, 3.2551699683459647, 1.4310028356981899)"
2025/09/16/14:23:21.600441,"(1.8401716727145923, 1.3248726546294824, 2.5514209803498678, 1.5208229441796404)"
2025/09/16/14:23:21.700280,"(2.1393255463040006, 1.6737902593896012, 2.2521316927575232, 1.3210611189287234)"
2025/09/16/14:23:21.800672,"(1.897310747502957, 1.9087142343701964, 1.6509361419757915, 1.6737431157103027)"
2025/09/16/14:23:21.903304,"(1.595690816491226, 1.9783548507813635, 0.8034269484904499, 1.568755017070725)"
2025/09/16/14:23:22.000398,"(1.9041346157482533, 2.4221273993299377, 0.7918010612436135, 1.8277866284069852)"
2025/09/16/14:23:22.107697,"(1.480095590926333, 2.0391555510269153, 0.12504345016367813, 1.243163370364794)"
2025/09/16/14:23:22.200421,"(2.253327156125338, 2.956048378142542, -0.2675999388268797, 1.1378425053218568)"
2025/09/16/14:23:22.300476,"(1.5249152993886839, 2.3343779433538017, -0.518681683902034, 1.1002436040282086)"
2025/09/16/14:23:22.401163,"(1.719771044806364, 2.613061940904301, -0.4964702004334862, 1.290111591762392)"
2025/09/16/14:23:22.500458,"(1.1815075181342765, 2.471283454535871, -1.5459935779953855, 1.033558294807789)"
2025/09/16/14:23:22.600307,"(1.60158089124227, 2.7277605294894904, -1.1093482234728118, 1.1430110530216298)"
2025/09/16/14:23:22.700315,"(1.0845845476483191, 2.477450392976354, -1.7648975842492307, 1.0208341064068218)"
2025/09/16/14:23:22.800307,"(1.1287707495487689, 2.521530691694319, -2.01686115482152, 0.7686587294695717)"
2025/09/16/14:23:22.900286,"(0.8431567618017376, 2.256819776315236, -2.4279034069968075, 0.3994226220302601)"
2025/09/16/14:23:23.000278,"(0.7462027823683426, 2.115194500927683, -2.141229519490851, 0.5967539176278144)"
2025/09/16/14:23:23.100276,"(0.3985527041307192, 1.8328127066630584, -2.551820938179766, 0.31669906688487554)"
2025/09/16/14:23:23.200299,"(0.6791214372866874, 1.8282506675381656, -2.0982072486713665, 0.200051211831569)"
2025/09/16/14:23:23.300279,"(0.8950865122054792, 1.7479529478442388, -1.8100819679708273, -0.10434909669329434)"
2025/09/16/14:23:23.400310,"(0.7299356755969104, 1.5780452025574432, -2.2385477251961294, -0.5423286712751076)"
2025/09/16/14:23:23.500297,"(0.926460223420713, 1.3299739680590117, -1.6924243504235066, -0.8853968611468632)"
2025/09/16/14:23:23.600301,"(0.7448577525992525, 1.0474260932517483, -1.6249891782403667, -1.0198524969353848)"
2025/09/16/14:23:23.700364,"(0.8835134624074962, 1.0351362510787439, -1.6448933882817214, -1.3416478109392322)"
2025/09/16/14:23:23.800292,"(1.301730038722764, 0.9914977054661416, -0.8916339041809603, -1.51209857069419)"
2025/09/16/14:23:23.900329,"(1.7006335122640182, 1.3421978423009548, -0.6399910763946921, -1.3568624163208296)"
2025/09/16/14:23:24.000689,"(1.3574454445819055, 1.0963986819755522, -0.8414523825054712, -1.363545907718155)"
2025/09/16/14:23:24.100358,"(1.38946570295852, 0.8950001573801594, -0.459687817052125, -1.4486189082088157)"
2025/09/16/14:23:24.201050,"(1.6618384178311547, 0.861679295433274, 0.20129313887354483, -1.3990251059222103)"
2025/09/16/14:23:24.300754,"(1.7045011418171894, 0.9905672784379334, 0.07616469264907838, -1.351703034109428)"
2025/09/16/14:23:24.400313,"(1.6450536334260775, 0.9172561124043535, 0.17055698686530235, -1.2850380486899282)"
2025/09/16/14:23:24.500305,"(1.8504584754850888, 1.0071895045865624, -0.18009827388775773, -1.8666362156846834)"
2025/09/16/14:23:24.600324,"(1.128406975470848, 0.4508408637440159, -0.028736449868903224, -1.3838686733225791)"
2025/09/16/14:23:24.700280,"(1.5798348529578412, 0.8749766447160208, 0.08860136947574317, -1.3211150470078676)"
2025/09/16/14:23:24.800311,"(1.6161770461222906, 1.0563900934754398, 0.14767392280339853, -0.9718999824903607)"
2025/09/16/14:23:24.901867,"(1.6907099412003292, 1.3261540048089304, -0.1535515762260733, -0.8826634490088144)"
2025/09/16/14:23:25.000306,"(1.7349084501512928, 1.661841611602186, -0.30887855648604357, -0.4550122335842665)"
2025/09/16/14:23:25.100689,"(1.87309248373956, 1.839084149105188, -0.7165423868593297, -0.7845590561280241)"
2025/09/16/14:23:25.200334,"(1.2338815747961047, 1.8081568512454158, -1.502173067357114, -0.35362251445850595)"
2025/09/16/14:23:25.300297,"(1.664398761545779, 1.9480978986921755, -1.1993647091488269, -0.6319664348560425)"
2025/09/16/14:23:25.400285,"(1.6815156080048677, 1.9602655649317267, -0.91552603717106, -0.3580261233173293)"
2025/09/16/14:23:25.500265,"(1.725967306490955, 2.3571607553040055, -2.0033887928097593, -0.7410018951888553)"
2025/09/16/14:23:25.600295,"(1.4784978104639301, 1.8708476205047755, -1.3032775450780725, -0.518577924996298)"
2025/09/16/14:23:25.700287,"(2.0789412894286317, 2.446166521979341, -1.5594806053687984, -0.8250301402671852)"
2025/09/16/14:23:25.800332,"(1.7248585182553762, 2.0990520718025536, -1.475401640417104, -0.7270145333228282)"
2025/09/16/14:23:25.900307,"(2.125855886411791, 2.236054021286568, -0.8156266323864299, -0.5952303626368537)"
2025/09/16/14:23:26.000314,"(1.9496414342609378, 2.1360223114678734, -1.1421495344930714, -0.7693877800791388)"
2025/09/16/14:23:26.100304,"(2.0827093929893508, 2.43701220745097, -1.6768487810805555, -0.9682431521572777)"
