time,.data
2025/09/16/14:25:48.300272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:48.400310,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:48.500464,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:48.604100,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:48.700260,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:48.800251,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:48.900241,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.000298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.100257,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.200527,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.300402,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.400254,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.500241,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.600328,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.700268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.800274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:25:49.900253,"(1.7600686818073894, 0.10433802608336185, 4.391731142717162, 1.0802698312690542)"
2025/09/16/14:25:50.000292,"(2.014125839055498, 0.364307362424302, 4.263971123355932, 0.964334170093516)"
2025/09/16/14:25:50.100646,"(1.896020725111541, -0.026032558237547687, 4.858429901552399, 1.0143233348542366)"
2025/09/16/14:25:50.200269,"(1.9588662998786304, 0.09894871528539986, 4.961632162654246, 1.241796998086304)"
2025/09/16/14:25:50.300266,"(1.8759535346004022, 0.21777202179083954, 4.528486206576848, 1.2121231990386154)"
2025/09/16/14:25:50.400298,"(1.8725335043455067, 0.6880439433827059, 4.177362004248291, 1.8083828823310357)"
2025/09/16/14:25:50.500277,"(1.8410420233538003, 0.7974583588970625, 3.45236605109238, 1.3651987221731965)"
2025/09/16/14:25:50.601630,"(2.0693218142667003, 1.074586373482083, 3.659554351166867, 1.6700834696124907)"
2025/09/16/14:25:50.705255,"(1.5635157736636602, 1.010097744722738, 2.6195818633964914, 1.5127458055107095)"
2025/09/16/14:25:50.800242,"(2.016064217318267, 1.81201655531427, 2.0849750351729472, 1.676879711164968)"
2025/09/16/14:25:50.900320,"(1.7995375913269545, 1.8631743788943889, 1.1088010249663958, 1.2360746001012706)"
2025/09/16/14:25:51.000279,"(2.03111455154681, 2.0479430406323686, 1.5145057444954018, 1.5481627226665409)"
2025/09/16/14:25:51.100255,"(1.5143056071928498, 1.9719566102827477, 0.7780832428396721, 1.6933852490194619)"
2025/09/16/14:25:51.200318,"(1.724828689176057, 2.3176268406149356, 0.4474563503996362, 1.633052653277387)"
2025/09/16/14:25:51.300293,"(1.6761504002617371, 2.4736347979969837, 0.3928947757509064, 1.9878635712213444)"
2025/09/16/14:25:51.400341,"(1.7818467845297694, 3.000448999161113, -0.5532421817893378, 1.8839622475116207)"
2025/09/16/14:25:51.500277,"(1.5401172947115198, 2.789889466000276, -1.0329064482852748, 1.4666378942922305)"
2025/09/16/14:25:51.600263,"(1.6431668672943998, 2.911491227552066, -1.3546196706532594, 1.1820290498620756)"
2025/09/16/14:25:51.700276,"(1.0860985608714537, 2.575618971187319, -1.8661720401518926, 1.1128687804798378)"
2025/09/16/14:25:51.800278,"(1.244883364068985, 2.6901505338987386, -2.1582166508330713, 0.7323176888264327)"
2025/09/16/14:25:51.900303,"(1.1563887483300515, 2.341414078434686, -1.709026202566974, 0.6610244576423219)"
2025/09/16/14:25:52.000305,"(1.3908617018897322, 2.292120035281923, -1.368436820253226, 0.43407984653116716)"
2025/09/16/14:25:52.100280,"(1.1675771927513527, 2.136499788943558, -1.8912621455921812, 0.04658304679225811)"
2025/09/16/14:25:52.200257,"(1.2605344328418926, 2.2325973150474296, -2.2252925731311595, -0.2811668087200877)"
2025/09/16/14:25:52.300248,"(0.995430404070963, 1.7741078996409507, -2.0360827385094313, -0.4787277473694347)"
2025/09/16/14:25:52.400320,"(0.9156387303302725, 1.619708050318894, -1.9460454063188064, -0.5379067663415639)"
2025/09/16/14:25:52.500274,"(1.1033710965180972, 1.5080822141857424, -1.5477203946968288, -0.7382981593615077)"
2025/09/16/14:25:52.600301,"(1.0130204565958505, 1.1817798328886937, -1.2960084223417019, -0.958489669756017)"
2025/09/16/14:25:52.700302,"(1.2777247167712669, 1.4085266360800566, -0.9930905982069833, -0.7314867595894017)"
