time,.data
2025/09/16/14:24:03.800278,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:03.900287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.000291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.100452,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.200247,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.300292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.400322,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.500256,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.600653,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.700297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.800272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:04.900321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.000272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.100272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.200309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.300278,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.400287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.500259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.600235,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.701782,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.800270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:05.900256,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.000272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.100254,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.200278,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.300251,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.400314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.503665,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.602701,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.700261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.800265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:06.900295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.000322,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.100326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.200322,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.300340,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.400854,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.500342,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.600285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.700261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.800253,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:07.900330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:24:08.000330,"(2.142312571016672, 0.762385795696542, 3.948809708687264, 1.1889561580569785)"
2025/09/16/14:24:08.100293,"(1.9245962369084078, 0.17430261997690266, 4.366020629884984, 0.8654333960219875)"
2025/09/16/14:24:08.206519,"(1.7002822958893595, 0.11712205234000331, 3.8761028084307405, 0.7097823213482106)"
2025/09/16/14:24:08.300260,"(1.9189096088487014, 0.36838329261699077, 4.032663332262652, 0.9316106998210483)"
2025/09/16/14:24:08.400312,"(2.2064637332960766, 0.6655831833539376, 4.129673800869574, 1.0479127009973799)"
2025/09/16/14:24:08.500327,"(2.351986507820701, 1.3326935023058664, 3.5746439349185843, 1.5360579238789358)"
2025/09/16/14:24:08.600344,"(2.2876153940172705, 1.2627266186640727, 3.37870427111753, 1.3289267204111301)"
2025/09/16/14:24:08.701503,"(2.1584832817672557, 1.596217769532245, 2.9357059432164845, 1.8111749187464357)"
2025/09/16/14:24:08.800309,"(2.3985707377206036, 1.9967494423099867, 2.6572410792971652, 1.8535984884759347)"
2025/09/16/14:24:08.900313,"(1.8255028075504511, 1.783252271081141, 1.9479261537702786, 1.863425080831682)"
2025/09/16/14:24:09.003363,"(2.13601836049497, 2.1089725594943776, 1.5601103607736333, 1.5060187587724494)"
2025/09/16/14:24:09.100332,"(2.1149761814612087, 2.2184774988001816, 1.7618904785357183, 1.9688931132136562)"
2025/09/16/14:24:09.200772,"(1.6197041777545829, 2.326510913427061, 0.3199270746829732, 1.733540546027957)"
2025/09/16/14:24:09.301047,"(1.5831949383752062, 2.3263645379582685, 0.10940498646173125, 1.5957441856278747)"
2025/09/16/14:24:09.400261,"(1.8049843804878276, 2.665140973051717, -0.3690671190057721, 1.3512460661220322)"
2025/09/16/14:24:09.500268,"(1.7846087239688844, 2.9144828886661953, -0.702420725502731, 1.5573276038918717)"
