time,.data
2025/09/16/14:17:31.900288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.000277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.100267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.200299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.300320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.400307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.500286,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.600445,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.707769,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.800348,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:32.900306,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:33.000309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:17:33.103706,"(2.0424274311130803, 0.5067964632585419, 4.08307959655808, 1.011817660978717)"
2025/09/16/14:17:33.200352,"(2.0275376346630543, 0.24129926664164458, 4.386845617118601, 0.8143689028832823)"
2025/09/16/14:17:33.300292,"(1.9940308301277723, 0.07046599753931646, 4.750133625013623, 0.9030039598367029)"
2025/09/16/14:17:33.400323,"(2.0507175212110433, 0.4355128851240544, 4.373562176792914, 1.1431529048650249)"
2025/09/16/14:17:33.500411,"(2.0070091851093013, 0.504298019929428, 4.14666589365802, 1.1412435632981268)"
2025/09/16/14:17:33.603213,"(1.870347487524638, 0.8201013478308474, 3.710129173574972, 1.6096368941865666)"
2025/09/16/14:17:33.700369,"(1.864630059929321, 0.9349839674515216, 3.110832293601021, 1.251540108639385)"
2025/09/16/14:17:33.800287,"(2.2925864032318284, 1.7506796314511002, 2.3868277973197527, 1.3030142537464104)"
2025/09/16/14:17:33.900249,"(2.104950296691398, 1.5680251477434095, 2.5145276079369805, 1.4406773100410013)"
2025/09/16/14:17:34.000268,"(1.9114284595838573, 1.7913378613961624, 1.771951372400451, 1.5317701760250952)"
2025/09/16/14:17:34.100292,"(2.022765572984924, 2.092786427004653, 1.1431054739417512, 1.2831471819812157)"
2025/09/16/14:17:34.200293,"(2.264186286530294, 2.5299794267699633, 1.1057650960488226, 1.637351376528154)"
2025/09/16/14:17:34.302579,"(1.9156613672848217, 2.5709117287420935, 0.0011398189085967125, 1.311640541823146)"
2025/09/16/14:17:34.400269,"(1.9928965871529793, 2.6841851470393596, -0.32334401463523726, 1.0592331051375217)"
2025/09/16/14:17:34.501071,"(1.6244224254748656, 2.357673044602362, -0.19746620091025177, 1.2690350373447445)"
2025/09/16/14:17:34.605625,"(2.0066927695206993, 2.8702169751282245, -0.12006221389945575, 1.606986197342802)"
2025/09/16/14:17:34.700300,"(1.5965802877848938, 2.6057802471503715, -0.5523174161922692, 1.466082502538686)"
2025/09/16/14:17:34.800330,"(1.3436480866102576, 2.5535230114513516, -0.8460594142176916, 1.5736904354644912)"
2025/09/16/14:17:34.900302,"(1.482890361520734, 2.6237280637186453, -1.1751238088773492, 1.1065515955184324)"
2025/09/16/14:17:35.000288,"(1.250826102901577, 2.471295884961301, -1.371572766517665, 1.0693667976017829)"
2025/09/16/14:17:35.100255,"(1.023528727553752, 2.366347207946113, -1.6497306295498606, 1.0359063312348675)"
2025/09/16/14:17:35.200279,"(0.9702915194142256, 2.1628645831791453, -2.0407838048981297, 0.34436232263164157)"
2025/09/16/14:17:35.300299,"(1.1599435976079935, 1.9869979005441252, -1.3326287002355557, 0.32147990563670487)"
2025/09/16/14:17:35.400279,"(0.9485174709843202, 1.9461789255254756, -1.461310876522398, 0.5340120325599182)"
2025/09/16/14:17:35.500285,"(1.0471227363375195, 1.7271425833945724, -1.3721734852079026, -0.012133791093837942)"
2025/09/16/14:17:35.600244,"(1.0341651489424089, 1.7907875946831548, -1.5790711397494728, -0.0658262482679757)"
2025/09/16/14:17:35.700263,"(1.0186185514176322, 1.5027915854785379, -1.355780214834593, -0.3874341467127942)"
2025/09/16/14:17:35.800287,"(0.907766520326443, 1.1213075250468212, -0.3845538286173755, 0.04252818082339982)"
2025/09/16/14:17:35.900267,"(0.634645223195822, 1.1077848186136143, -1.205395473493023, -0.25911628265743797)"
2025/09/16/14:17:36.000455,"(1.006946900378715, 1.16593578914006, -0.9141978788760823, -0.5962201013533712)"
2025/09/16/14:17:36.100289,"(0.7209887617988111, 0.7493546699726015, -0.6015255348048101, -0.5447937184571888)"
2025/09/16/14:17:36.200311,"(1.2489572705848255, 1.1456446454228528, -0.7156954741055933, -0.9223207244295438)"
2025/09/16/14:17:36.300315,"(1.6702952641958262, 1.311252412636756, -0.6689288456649439, -1.3870145487830567)"
2025/09/16/14:17:36.400293,"(1.4444617517621159, 1.0690143624682202, -0.47573622732309445, -1.2266310059108936)"
2025/09/16/14:17:36.500276,"(1.059089793781451, 0.7054821412694381, -0.5181224430629201, -1.2253377480869667)"
2025/09/16/14:17:36.600312,"(1.5507195851674624, 1.0085646787602442, -0.49586523355481943, -1.58017504636924)"
2025/09/16/14:17:36.700307,"(1.5242304001990197, 0.8802421486837474, -0.6006861745071456, -1.8886626775378508)"
2025/09/16/14:17:36.800263,"(2.000522336368409, 1.1659015097460923, -0.2490240132324414, -1.9182656664770958)"
2025/09/16/14:17:36.900305,"(1.288767039585303, 0.7616833000565963, -0.35334431532775873, -1.4075117943851532)"
2025/09/16/14:17:37.000349,"(1.8270790169694622, 1.1953292208597937, -0.37134131797540965, -1.6348409101947712)"
2025/09/16/14:17:37.100271,"(1.8564633163422612, 1.3710297605226807, -0.34572026051427857, -1.3165873721534458)"
2025/09/16/14:17:37.200287,"(1.7712816646428062, 1.3975549932590783, -0.6306193942042972, -1.37807273697173)"
2025/09/16/14:17:37.300272,"(1.778788182499336, 1.4750163812135408, -0.7262297081555964, -1.3337733018214384)"
2025/09/16/14:17:37.400279,"(1.536835563748952, 1.522585452905715, -1.4744943274369715, -1.5029945491232932)"
2025/09/16/14:17:37.500302,"(1.88594251284516, 1.725082342664441, -1.102574817131037, -1.4242951574923368)"
2025/09/16/14:17:37.606447,"(1.7475518687071185, 1.8842924963260566, -1.162089831503449, -0.8886085762655329)"
2025/09/16/14:17:37.700360,"(1.6770837679664719, 1.9637768495417394, -1.4318950757212041, -0.8585089125706734)"
2025/09/16/14:17:37.800722,"(1.8245348722764918, 2.065528418440418, -1.553646418854087, -1.0716593265262955)"
2025/09/16/14:17:37.900274,"(2.112422952062629, 2.35504687645968, -1.6193267124009827, -1.1340788636068853)"
2025/09/16/14:17:38.000359,"(2.1421056156982945, 2.3295068819348734, -1.7150831328924447, -1.3402806004192445)"
2025/09/16/14:17:38.100263,"(1.824719772825735, 2.022523459076215, -1.2160184453121023, -0.820411072811278)"
2025/09/16/14:17:38.200308,"(1.6896456257583312, 1.893606419563128, -0.9479069078104236, -0.5399853202008515)"
2025/09/16/14:17:38.300328,"(2.114006996147198, 2.3262154270000983, -1.2392494339876836, -0.8148325722819387)"
2025/09/16/14:17:38.400321,"(2.3508362117266097, 2.4062747441017294, -1.2056346696855051, -1.0947576049352834)"
2025/09/16/14:17:38.500323,"(2.2375369219825636, 2.3049232524066094, -1.2354060683591457, -1.1006334075110862)"
2025/09/16/14:17:38.600256,"(2.1091869148225695, 1.9576568183802425, -0.5507312102775745, -0.8537914031622791)"
2025/09/16/14:17:38.700256,"(2.220080044415569, 2.0504789834231114, -0.48886239648037233, -0.8280645184652953)"
2025/09/16/14:17:38.800244,"(2.308610802083307, 2.08125575319855, -0.3055816681046303, -0.7602917658741344)"
2025/09/16/14:17:38.900307,"(2.107874567266778, 1.917225307519007, 0.16218045885699528, -0.2191180606385471)"
2025/09/16/14:17:39.000267,"(2.6132358189320506, 2.2901213383076486, 0.011019479726782577, -0.6352094815219462)"
2025/09/16/14:17:39.100266,"(2.096811112382256, 1.8907054634720968, 0.006867687658024748, -0.40534361016233184)"
2025/09/16/14:17:39.200303,"(2.255846975658108, 1.772830250917028, 0.043234701578748314, -0.9227987479033173)"
2025/09/16/14:17:39.300297,"(2.1064264387353084, 1.5876811140890634, 0.10975433958962316, -0.9277363097028793)"
2025/09/16/14:17:39.400285,"(2.1438095449307832, 1.7263178479903385, 0.30145533479700937, -0.5335280590839478)"
2025/09/16/14:17:39.500266,"(1.8641078654407914, 1.6146262269805376, 0.14139934024703632, -0.3575639366734783)"
