time,.data
2025/09/16/13:49:39.400329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:39.500299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:39.600328,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:39.700297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:39.800321,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:49:39.900303,"(-0.0, -0.0, 1.922386646270752, -1.922386646270752)"
2025/09/16/13:49:40.000305,"(-0.0, -0.0, 1.922386646270752, -1.922386646270752)"
2025/09/16/13:49:40.100310,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:40.200245,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:40.300334,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:49:40.400269,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:49:40.500310,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:49:40.605264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:40.704137,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:40.800307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:40.900303,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:49:41.000297,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:49:41.100256,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:49:41.200287,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:49:41.300396,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:49:41.400304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:41.500469,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:41.600331,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:41.700311,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:49:41.800317,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:49:41.900300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:42.000299,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:42.100328,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:42.200327,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:49:42.300293,"(-0.0, -0.0, -1.240249752998352, 1.240249752998352)"
2025/09/16/13:49:42.400327,"(-0.0, -0.0, -1.3935490846633911, 1.3935490846633911)"
2025/09/16/13:49:42.500356,"(-0.0, -0.0, -1.3935490846633911, 1.3935490846633911)"
