time,.data
2025/09/16/13:50:21.000321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.100341,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.200340,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.300264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.400315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.500350,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.600401,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.700264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.800365,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:21.900308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:22.000299,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:22.100305,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:22.200288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:22.300445,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:22.400258,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:22.500404,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:22.600282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:22.700293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:22.800317,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:22.900320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:23.000318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:23.100321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:23.200346,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:23.300276,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:23.400339,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:23.500303,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:23.600329,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:23.700439,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:50:23.800332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:23.900273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:24.000371,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:24.100314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:24.200290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:24.300268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:24.400324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:50:24.500343,"(0.0, 0.0, 0.0, 0.0)"
