time,.data
2025/09/16/13:51:05.600282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:05.700268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:05.800324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:05.900393,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:06.000342,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:06.100312,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:51:06.200557,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:51:06.300465,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:06.400366,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:06.500305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:06.600364,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:06.703269,"(-0.0, -0.0, 1.1838387250900269, -1.1838387250900269)"
2025/09/16/13:51:06.800247,"(-0.0, -0.0, 1.1838387250900269, -1.1838387250900269)"
2025/09/16/13:51:06.900362,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.000321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.100293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.200320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.300294,"(-0.0, -0.0, 1.1857019662857056, -1.1857019662857056)"
2025/09/16/13:51:07.400313,"(-0.0, -0.0, 1.1857019662857056, -1.1857019662857056)"
2025/09/16/13:51:07.500616,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.600228,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.700275,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.800287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:07.900371,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.000271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.100485,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.200352,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.300284,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:51:08.400253,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:51:08.500265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.600253,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.700266,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.800318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:08.900320,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:09.000341,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:51:09.100408,"(1.9956502318382263, 1.9956502318382263, 0.0, 0.0)"
