time,.data
2025/09/16/13:47:53.603725,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:47:53.700280,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:47:53.800276,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:47:53.900290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:54.000417,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:54.100264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:54.200285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:54.300297,"(-0.0, -0.0, 1.723791480064392, -1.723791480064392)"
2025/09/16/13:47:54.400316,"(-0.0, -0.0, 1.723791480064392, -1.723791480064392)"
2025/09/16/13:47:54.500488,"(-0.0, -0.0, 1.723791480064392, -1.723791480064392)"
2025/09/16/13:47:54.600300,"(-0.0, -0.0, 1.723791480064392, -1.723791480064392)"
2025/09/16/13:47:54.700309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:54.800266,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:54.900383,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:55.000317,"(-0.0, -0.0, 1.6113548278808594, -1.6113548278808594)"
2025/09/16/13:47:55.100537,"(-0.0, -0.0, 1.6113548278808594, -1.6113548278808594)"
2025/09/16/13:47:55.200263,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:55.300316,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:55.400367,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:55.500327,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:55.600397,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:55.700259,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:47:55.800286,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:47:55.900273,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:47:56.000351,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:47:56.100259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:56.200313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:56.300469,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:56.400292,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:56.500300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:56.600298,"(6.0, 6.0, 0.17552640661597252, 0.17552640661597252)"
2025/09/16/13:47:56.700321,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:56.800327,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:56.900278,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:57.000334,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:57.100344,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:57.200496,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:57.300302,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:57.400443,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:57.500253,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:57.600389,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:57.700274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:57.800309,"(-0.0, -0.0, -6.0, -6.0)"
2025/09/16/13:47:57.900298,"(-0.0, -0.0, -6.0, -6.0)"
2025/09/16/13:47:58.000419,"(-0.0, -0.0, -5.811299085617065, -5.811299085617065)"
2025/09/16/13:47:58.100320,"(-0.0, -0.0, -2.291326403617859, -2.291326403617859)"
2025/09/16/13:47:58.200300,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:58.300273,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:58.400302,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:58.500393,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:58.600321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:58.700318,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:47:58.800304,"(6.0, 6.0, 0.6653003096580505, 0.6653003096580505)"
2025/09/16/13:47:58.900482,"(6.0, 6.0, 0.6897793561220169, 0.6897793561220169)"
2025/09/16/13:47:59.000422,"(6.0, 6.0, 3.557683825492859, 3.557683825492859)"
2025/09/16/13:47:59.100355,"(6.0, 6.0, 3.557683825492859, 3.557683825492859)"
2025/09/16/13:47:59.200318,"(6.0, 6.0, 2.93433541059494, 2.93433541059494)"
2025/09/16/13:47:59.300348,"(3.769321918487549, 3.769321918487549, 0.41472727060317993, 0.41472727060317993)"
2025/09/16/13:47:59.400268,"(3.769321918487549, 3.769321918487549, 0.41472727060317993, 0.41472727060317993)"
2025/09/16/13:47:59.500315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:47:59.600344,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:59.700290,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:47:59.800332,"(1.9251043796539307, 1.9251043796539307, 0.0, 0.0)"
2025/09/16/13:47:59.900350,"(2.0590646266937256, 2.0590646266937256, 0.0, 0.0)"
2025/09/16/13:48:00.000330,"(4.665987610816956, 4.665987610816956, 0.0, 0.0)"
2025/09/16/13:48:00.100331,"(4.665987610816956, 4.665987610816956, 0.0, 0.0)"
2025/09/16/13:48:00.200326,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:00.300293,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:00.400290,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:00.500297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:00.600350,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:00.700345,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:00.800431,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:00.900402,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:01.000283,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:01.100324,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:01.200296,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:01.300354,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:01.400351,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:48:01.500277,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:48:01.600350,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:48:01.700317,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:48:01.800281,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:48:01.900276,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:48:02.000303,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:48:02.100278,"(5.867003560066223, 5.867003560066223, 0.0, 0.0)"
2025/09/16/13:48:02.200253,"(5.867003560066223, 5.867003560066223, 0.0, 0.0)"
2025/09/16/13:48:02.300337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:02.400266,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:02.500310,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:02.600271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:02.700314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:02.800291,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:02.900325,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:03.000319,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:03.100281,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:03.200338,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:03.300349,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:03.401056,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:03.500297,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:03.601455,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:03.700260,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:03.800293,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:03.900260,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:04.000335,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:04.100246,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:04.203025,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:04.300313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:04.400344,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:04.500278,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:04.600267,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:04.700382,"(2.0831581950187683, 2.0831581950187683, 6.0, 6.0)"
2025/09/16/13:48:04.800365,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:04.900322,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:05.000330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:05.100278,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:05.200763,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:05.300314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:05.400454,"(0.26052848249673843, 0.26052848249673843, 6.0, 6.0)"
2025/09/16/13:48:05.500473,"(0.36114319413900375, 0.36114319413900375, 6.0, 6.0)"
2025/09/16/13:48:05.600410,"(0.36114319413900375, 0.36114319413900375, 2.72115558385849, 2.72115558385849)"
2025/09/16/13:48:05.700273,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:05.800343,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:48:05.900354,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:48:06.001599,"(0.0, 0.0, 0.0, 0.0)"
