time,.data
2025/09/16/13:54:47.800371,"(1.8823142051696777, 1.8823142051696777, 0.06180480122566223, 0.06180480122566223)"
2025/09/16/13:54:47.900342,"(1.5760368704795837, 1.5760368704795837, 1.5874090790748596, 1.5874090790748596)"
2025/09/16/13:54:48.000377,"(1.4135499000549316, 1.4135499000549316, 2.45901757478714, 2.45901757478714)"
2025/09/16/13:54:48.100345,"(0.9403523504734039, 0.9403523504734039, 4.1434468030929565, 4.1434468030929565)"
2025/09/16/13:54:48.200271,"(0.9403523504734039, 0.9403523504734039, 4.154240369796753, 4.154240369796753)"
2025/09/16/13:54:48.300298,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:48.400300,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:48.500294,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:48.601118,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:48.700278,"(0.13061601296067238, 0.13061601296067238, 0.0, 0.0)"
2025/09/16/13:54:48.800421,"(1.9727132320404053, 1.9727132320404053, 0.0, 0.0)"
2025/09/16/13:54:48.900383,"(2.499494791030884, 2.499494791030884, 0.0, 0.0)"
2025/09/16/13:54:49.000314,"(2.499494791030884, 2.499494791030884, 0.0, 0.0)"
2025/09/16/13:54:49.100321,"(2.499494791030884, 2.499494791030884, 0.0, 0.0)"
2025/09/16/13:54:49.200341,"(2.2024694681167603, 2.2024694681167603, 0.0, 0.0)"
2025/09/16/13:54:49.300340,"(1.1770475506782532, 1.1770475506782532, 0.0, 0.0)"
2025/09/16/13:54:49.400354,"(0.1722496747970581, 0.1722496747970581, 0.0, 0.0)"
2025/09/16/13:54:49.500319,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:49.600278,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:49.700286,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:49.800299,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:49.900337,"(0.7913577854633331, 0.7913577854633331, 0.12001483887434006, 0.12001483887434006)"
2025/09/16/13:54:50.000398,"(1.0209212601184845, 1.0209212601184845, 0.07761017605662346, 0.07761017605662346)"
2025/09/16/13:54:50.100288,"(1.0209212601184845, 1.0209212601184845, 0.3013911545276642, 0.3013911545276642)"
2025/09/16/13:54:50.216256,"(1.0317151844501495, 1.0317151844501495, 1.0218849778175354, 1.0218849778175354)"
2025/09/16/13:54:50.300354,"(0.9925872087478638, 0.9925872087478638, 1.0905034840106964, 1.0905034840106964)"
2025/09/16/13:54:50.400269,"(0.9925872087478638, 0.9925872087478638, 1.0905034840106964, 1.0905034840106964)"
2025/09/16/13:54:50.500355,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:50.600274,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:50.700414,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:50.800283,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:50.900304,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.000366,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.103280,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.200396,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.300343,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.400258,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.500290,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.600303,"(-0.0, -0.0, 0.2353876531124115, -0.2353876531124115)"
2025/09/16/13:54:51.700292,"(-0.0, -0.0, 0.6686220169067383, -0.6686220169067383)"
2025/09/16/13:54:51.800303,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:51.900330,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:52.000279,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:52.100268,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:54:52.200381,"(-0.0, -0.0, 0.04546615481376648, -0.04546615481376648)"
2025/09/16/13:54:52.300398,"(-0.0, -0.0, 0.3424273133277893, -0.3424273133277893)"
2025/09/16/13:54:52.403372,"(-0.0, -0.0, 0.49418461322784424, -0.49418461322784424)"
