time,.data
2025/09/16/14:10:44.900261,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.000295,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.100243,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.200287,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.300240,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.400231,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.500325,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.600292,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.700277,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.821279,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:45.903075,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.000296,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.100256,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.200270,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.300285,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.400254,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.500254,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.600273,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:10:46.700369,"(0.07471895031630993, 0.07471895031630993, 0.0, 0.0)"
2025/09/16/14:10:46.800313,"(0.2177383303642273, 0.2177383303642273, 0.0, 0.0)"
2025/09/16/14:10:46.900274,"(0.2177383303642273, 0.2177383303642273, 0.0, 0.0)"
2025/09/16/14:10:47.000335,"(0.3596012145280838, 0.3596012145280838, 0.0, 0.0)"
2025/09/16/14:10:47.100307,"(0.9384249150753021, 0.9384249150753021, -0.19979344308376312, 0.19979344308376312)"
2025/09/16/14:10:47.200390,"(1.3379925191402435, 1.3379925191402435, -0.19979344308376312, 0.19979344308376312)"
2025/09/16/14:10:47.300286,"(1.3703742027282715, 1.3703742027282715, -0.23827888071537018, 0.23827888071537018)"
2025/09/16/14:10:47.400331,"(1.3455096781253815, 1.3455096781253815, -0.2820970416069031, 0.2820970416069031)"
2025/09/16/14:10:47.500269,"(1.3455096781253815, 1.3455096781253815, -0.2820970416069031, 0.2820970416069031)"
2025/09/16/14:10:47.600288,"(1.3455096781253815, 1.3455096781253815, -0.31242281198501587, 0.31242281198501587)"
2025/09/16/14:10:47.700307,"(1.3455096781253815, 1.3455096781253815, -0.514808714389801, 0.514808714389801)"
2025/09/16/14:10:47.800295,"(1.3455096781253815, 1.3455096781253815, -0.514808714389801, 0.514808714389801)"
2025/09/16/14:10:47.900280,"(1.3455096781253815, 1.3455096781253815, -0.514808714389801, 0.514808714389801)"
2025/09/16/14:10:48.000282,"(1.3455096781253815, 1.3455096781253815, -0.14081239700317383, 0.14081239700317383)"
2025/09/16/14:10:48.100347,"(1.3455096781253815, 1.3455096781253815, 0.0, 0.0)"
2025/09/16/14:10:48.200352,"(1.3455096781253815, 1.3455096781253815, 0.0, 0.0)"
2025/09/16/14:10:48.300252,"(1.3455096781253815, 1.3455096781253815, 0.0, 0.0)"
2025/09/16/14:10:48.400291,"(1.3455096781253815, 1.3455096781253815, 0.013232183642685413, 0.013232183642685413)"
2025/09/16/14:10:48.500280,"(1.3455096781253815, 1.3455096781253815, -0.13895239308476448, 0.37666909024119377)"
2025/09/16/14:10:48.600367,"(1.3455096781253815, 1.3455096781253815, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:48.700337,"(1.3455096781253815, 1.3455096781253815, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:48.800338,"(1.3455096781253815, 1.3455096781253815, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:48.900304,"(1.3455096781253815, 1.3455096781253815, -0.006277177482843399, 0.2439938746392727)"
2025/09/16/14:10:49.000445,"(1.3455096781253815, 1.3455096781253815, -0.3042020685970783, 0.5419187657535076)"
2025/09/16/14:10:49.100387,"(1.3455096781253815, 1.3455096781253815, -0.28942470625042915, 0.5271414034068584)"
2025/09/16/14:10:49.200268,"(1.3455096781253815, 1.3455096781253815, -0.28942470625042915, 0.5271414034068584)"
2025/09/16/14:10:49.300333,"(1.3455096781253815, 1.3455096781253815, -0.2229907102882862, 0.4607074074447155)"
2025/09/16/14:10:49.400290,"(1.3455096781253815, 1.3455096781253815, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:49.500250,"(1.3455096781253815, 1.3455096781253815, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:49.610649,"(1.3455096781253815, 1.3455096781253815, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:49.700288,"(1.3455096781253815, 1.3455096781253815, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:49.800311,"(1.3370287120342255, 1.3370287120342255, 0.11885834857821465, 0.11885834857821465)"
2025/09/16/14:10:49.900359,"(1.3526414036750793, 1.3526414036750793, 0.0, 0.0)"
2025/09/16/14:10:50.000376,"(1.3495573997497559, 1.3495573997497559, 0.0, 0.0)"
2025/09/16/14:10:50.100325,"(0.6839969158172607, 0.6839969158172607, 0.0, 0.0)"
2025/09/16/14:10:50.200330,"(0.7506878972053528, 0.7506878972053528, 0.0, 0.0)"
2025/09/16/14:10:50.300292,"(0.8663369715213776, 0.8663369715213776, 0.0, 0.0)"
2025/09/16/14:10:50.400321,"(0.9056576192378998, 0.9056576192378998, 0.0, 0.0)"
2025/09/16/14:10:50.500308,"(0.9881539642810822, 0.9881539642810822, 0.0, 0.0)"
2025/09/16/14:10:50.600272,"(1.1589291393756866, 1.1589291393756866, 0.0, 0.0)"
2025/09/16/14:10:50.700341,"(1.1729998290538788, 1.1729998290538788, 0.0, 0.0)"
2025/09/16/14:10:50.800338,"(1.2425819635391235, 1.2425819635391235, 0.0, 0.0)"
2025/09/16/14:10:50.900300,"(1.3046470284461975, 1.3046470284461975, 0.0, 0.0)"
2025/09/16/14:10:51.000434,"(2.0257190465927124, 2.0257190465927124, 0.0, 0.0)"
2025/09/16/14:10:51.100288,"(3.0821735858917236, 3.0821735858917236, 0.0, 0.0)"
2025/09/16/14:10:51.200321,"(3.0821735858917236, 3.0821735858917236, 0.0, 0.0)"
2025/09/16/14:10:51.300297,"(3.0821735858917236, 3.0821735858917236, 0.0, 0.0)"
2025/09/16/14:10:51.400359,"(2.280147135257721, 2.280147135257721, 0.0, 0.0)"
2025/09/16/14:10:51.500340,"(2.1849292516708374, 2.1849292516708374, 0.0, 0.0)"
2025/09/16/14:10:51.600342,"(2.1849292516708374, 2.1849292516708374, 0.0, 0.0)"
2025/09/16/14:10:51.700331,"(2.1849292516708374, 2.1849292516708374, 0.0, 0.0)"
2025/09/16/14:10:51.800337,"(1.3102367520332336, 1.3102367520332336, 0.0, 0.0)"
2025/09/16/14:10:51.900310,"(1.264940857887268, 1.264940857887268, 0.0, 0.0)"
2025/09/16/14:10:52.000288,"(1.264940857887268, 1.264940857887268, 0.0, 0.0)"
2025/09/16/14:10:52.100332,"(1.274770975112915, 1.274770975112915, 1.399524211883545, -1.399524211883545)"
2025/09/16/14:10:52.200274,"(1.274770975112915, 1.274770975112915, 1.6867194175720215, -1.6867194175720215)"
2025/09/16/14:10:52.300432,"(1.274770975112915, 1.274770975112915, 1.9329878091812134, -1.9329878091812134)"
2025/09/16/14:10:52.400380,"(1.274770975112915, 1.274770975112915, 1.9329878091812134, -1.9329878091812134)"
2025/09/16/14:10:52.500625,"(1.274770975112915, 1.274770975112915, 2.0, -2.0)"
2025/09/16/14:10:52.600302,"(1.274770975112915, 1.274770975112915, 2.0, -2.0)"
2025/09/16/14:10:52.700290,"(1.274770975112915, 1.274770975112915, 2.0, -2.0)"
2025/09/16/14:10:52.800330,"(1.274770975112915, 1.274770975112915, 1.8200371265411377, -1.8200371265411377)"
2025/09/16/14:10:52.900339,"(1.274770975112915, 1.274770975112915, 1.8200371265411377, -1.8200371265411377)"
2025/09/16/14:10:53.000323,"(1.274770975112915, 1.274770975112915, 1.4242602586746216, -1.4242602586746216)"
2025/09/16/14:10:53.100323,"(1.274770975112915, 1.274770975112915, 1.3734389543533325, -1.3734389543533325)"
2025/09/16/14:10:53.200366,"(1.274770975112915, 1.274770975112915, 0.844537079334259, -0.844537079334259)"
2025/09/16/14:10:53.300340,"(1.274770975112915, 1.274770975112915, 0.25402000546455383, -0.25402000546455383)"
2025/09/16/14:10:53.402774,"(1.274770975112915, 1.274770975112915, 0.0, 0.0)"
2025/09/16/14:10:53.500325,"(1.274770975112915, 1.274770975112915, 0.0, 0.0)"
2025/09/16/14:10:53.600279,"(1.274770975112915, 1.274770975112915, 0.0, 0.0)"
2025/09/16/14:10:53.700398,"(1.274770975112915, 1.274770975112915, 0.0, 0.0)"
2025/09/16/14:10:53.800321,"(2.0158889293670654, 2.0158889293670654, 0.0, 0.0)"
2025/09/16/14:10:53.900306,"(2.0158889293670654, 2.0158889293670654, 0.0, 0.0)"
