time,.data
2025/09/16/14:03:21.400250,"(2.4915921092033386, 2.4915921092033386, 0.0, 0.0)"
2025/09/16/14:03:21.500466,"(2.0989635586738586, 2.0989635586738586, 0.0, 0.0)"
2025/09/16/14:03:21.600304,"(1.9501617550849915, 1.9501617550849915, 0.0, 0.0)"
2025/09/16/14:03:21.700318,"(1.9162378907203674, 1.9162378907203674, -1.7996058464050293, 1.7996058464050293)"
2025/09/16/14:03:21.800295,"(1.885012686252594, 1.885012686252594, -2.0, 2.0)"
2025/09/16/14:03:21.900357,"(0.46888960897922516, 0.46888960897922516, 0.0, 0.0)"
2025/09/16/14:03:22.000295,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:22.100332,"(-6.0, -6.0, 0.0, 0.0)"
2025/09/16/14:03:22.200254,"(-6.0, -6.0, 0.0, 0.0)"
2025/09/16/14:03:22.300339,"(-6.0, -6.0, 0.0, 0.0)"
2025/09/16/14:03:22.400425,"(-6.0, -6.0, 0.8390116691589355, -0.8390116691589355)"
2025/09/16/14:03:22.500301,"(-6.0, -6.0, 1.418863296508789, -1.418863296508789)"
2025/09/16/14:03:22.600380,"(-6.0, -6.0, 0.7243905663490295, -0.7243905663490295)"
2025/09/16/14:03:22.700343,"(-6.0, -6.0, 1.4908870458602905, -1.4908870458602905)"
2025/09/16/14:03:22.800417,"(-6.0, -6.0, -0.4750382602214813, 0.4750382602214813)"
2025/09/16/14:03:22.900330,"(-6.0, -6.0, -2.0, 2.0)"
2025/09/16/14:03:23.000740,"(-6.0, -6.0, -2.0, 2.0)"
2025/09/16/14:03:23.100275,"(-0.9501825571060181, -0.9501825571060181, 0.0, 0.0)"
2025/09/16/14:03:23.200517,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:23.300267,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:23.400286,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:23.500288,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:23.600239,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:23.700306,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:23.800288,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:23.900317,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:03:24.000338,"(-2.8235051035881042, -2.8235051035881042, 0.0, 0.0)"
2025/09/16/14:03:24.100285,"(-2.8235051035881042, -2.8235051035881042, 0.33304688334465027, -0.33304688334465027)"
2025/09/16/14:03:24.200325,"(-2.8235051035881042, -2.8235051035881042, 0.47214704751968384, -0.47214704751968384)"
2025/09/16/14:03:24.300336,"(-2.8235051035881042, -2.8235051035881042, 0.47214704751968384, -0.47214704751968384)"
2025/09/16/14:03:24.400264,"(-2.8013389706611633, -2.8013389706611633, 1.2201396226882935, -1.2201396226882935)"
2025/09/16/14:03:24.500314,"(-2.8013389706611633, -2.8013389706611633, 2.0, -2.0)"
2025/09/16/14:03:24.600286,"(-2.8013389706611633, -2.8013389706611633, 2.0, -2.0)"
2025/09/16/14:03:24.700292,"(-2.8013389706611633, -2.8013389706611633, 1.801918864250183, -1.801918864250183)"
2025/09/16/14:03:24.800330,"(-2.8013389706611633, -2.8013389706611633, 1.7283531427383423, -1.7283531427383423)"
2025/09/16/14:03:24.900304,"(-2.8013389706611633, -2.8013389706611633, 1.7283531427383423, -1.7283531427383423)"
2025/09/16/14:03:25.000276,"(-2.8013389706611633, -2.8013389706611633, 1.7283531427383423, -1.7283531427383423)"
2025/09/16/14:03:25.100346,"(-2.7882320880889893, -2.7882320880889893, 1.7283531427383423, -1.7283531427383423)"
2025/09/16/14:03:25.200343,"(-2.7882320880889893, -2.7882320880889893, 1.7283531427383423, -1.7283531427383423)"
2025/09/16/14:03:25.300422,"(-2.7882320880889893, -2.7882320880889893, 1.7283531427383423, -1.7283531427383423)"
2025/09/16/14:03:25.400311,"(-2.7882320880889893, -2.7882320880889893, 1.7283531427383423, -1.7283531427383423)"
2025/09/16/14:03:25.500280,"(-2.7766671180725098, -2.7766671180725098, 2.0, -2.0)"
2025/09/16/14:03:25.600390,"(-2.7766671180725098, -2.7766671180725098, 1.9917761087417603, -1.9917761087417603)"
2025/09/16/14:03:25.700364,"(-2.7766671180725098, -2.7766671180725098, 1.5460131168365479, -1.5460131168365479)"
2025/09/16/14:03:25.803248,"(-2.7766671180725098, -2.7766671180725098, 1.5460131168365479, -1.5460131168365479)"
