time,.data
2025/09/16/14:11:50.200294,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/14:11:50.300418,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/14:11:50.400383,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/14:11:50.500303,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:50.600302,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:50.700284,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:50.800259,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:50.900370,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.000266,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.100262,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.200320,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.300267,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.400307,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.500643,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.600287,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:51.705225,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:51.800447,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:51.900264,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:52.000282,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:52.100281,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:52.200465,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:52.300323,"(-0.0, -0.0, 1.1520352363586426, -1.1520352363586426)"
2025/09/16/14:11:52.400359,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:52.500317,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:52.600330,"(-0.0, -0.0, 1.4337049722671509, -1.4337049722671509)"
2025/09/16/14:11:52.700284,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:52.800299,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:52.900325,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.000274,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.100570,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.200407,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.300253,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.400288,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.500280,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.600291,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.700286,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.800276,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:53.900360,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/14:11:54.000259,"(-0.0, -0.0, 0.44509801268577576, -0.44509801268577576)"
2025/09/16/14:11:54.100361,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:54.200303,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:54.300254,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:54.400272,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:54.500412,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:54.600282,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:54.700353,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:54.800321,"(-4.19047737121582, -4.19047737121582, 0.0, 0.0)"
2025/09/16/14:11:54.900427,"(-6.0, -6.0, 0.0, 0.0)"
2025/09/16/14:11:55.000241,"(-6.0, -6.0, 0.0, 0.0)"
2025/09/16/14:11:55.100260,"(-6.0, -6.0, 0.0, 0.0)"
2025/09/16/14:11:55.200303,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:55.300282,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:55.404693,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:55.519892,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:55.600309,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:55.700450,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:55.800356,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:11:55.900347,"(-0.0, -0.0, -1.3163853883743286, 1.3163853883743286)"
2025/09/16/14:11:56.000355,"(-0.0, -0.0, -0.9982218742370605, 0.9982218742370605)"
2025/09/16/14:11:56.100443,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/14:11:56.200447,"(-0.0, -0.0, -2.0, 2.0)"
