time,.data
2025/09/16/14:12:15.501630,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:15.600275,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:15.700281,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:15.800299,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:15.900278,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.000309,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.100245,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.200309,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.300288,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.400272,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.500279,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.600294,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.705159,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.803288,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:16.900257,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:17.000320,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:17.100302,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:12:17.200286,"(0.55986687541008, 0.55986687541008, 0.0, 0.0)"
2025/09/16/14:12:17.303264,"(0.742785170674324, 0.742785170674324, 0.0, 0.0)"
2025/09/16/14:12:17.400282,"(1.4272350668907166, 1.4272350668907166, 0.0, 0.0)"
2025/09/16/14:12:17.500293,"(1.7190561890602112, 1.7190561890602112, 0.0, 0.0)"
2025/09/16/14:12:17.600320,"(2.11245596408844, 2.11245596408844, 0.0, 0.0)"
2025/09/16/14:12:17.700360,"(2.2009273767471313, 2.2009273767471313, 0.0, 0.0)"
2025/09/16/14:12:17.800392,"(3.0122058391571045, 3.0122058391571045, 0.0, 0.0)"
2025/09/16/14:12:17.900357,"(2.875161588191986, 2.875161588191986, 0.0, 0.0)"
2025/09/16/14:12:18.000337,"(2.6575486063957214, 2.6575486063957214, 0.0, 0.0)"
2025/09/16/14:12:18.100361,"(2.6313348412513733, 2.6313348412513733, 0.0, 0.0)"
2025/09/16/14:12:18.200270,"(2.4260576963424683, 2.4260576963424683, 0.0, 0.0)"
2025/09/16/14:12:18.308239,"(2.364570915699005, 2.364570915699005, 0.0, 0.0)"
2025/09/16/14:12:18.400341,"(2.3489583134651184, 2.3489583134651184, 0.0, 0.0)"
2025/09/16/14:12:18.500898,"(2.1282613277435303, 2.1282613277435303, 0.0, 0.0)"
2025/09/16/14:12:18.602844,"(1.9428371787071228, 1.9428371787071228, 0.0, 0.0)"
2025/09/16/14:12:18.700259,"(1.9428371787071228, 1.9428371787071228, 0.0, 0.0)"
2025/09/16/14:12:18.800301,"(1.9305013418197632, 1.9305013418197632, 0.383932501077652, -0.383932501077652)"
2025/09/16/14:12:18.900292,"(1.9305013418197632, 1.9305013418197632, 0.4528721868991852, -0.4528721868991852)"
2025/09/16/14:12:19.000378,"(1.9305013418197632, 1.9305013418197632, 0.6461346745491028, -0.6461346745491028)"
