time,.data
2025/09/16/14:08:55.700254,"(2.0490415692329407, 2.0490415692329407, 1.147409200668335, -1.147409200668335)"
2025/09/16/14:08:55.800348,"(2.0490415692329407, 2.0490415692329407, 1.6803587675094604, -1.6803587675094604)"
2025/09/16/14:08:55.900304,"(2.0490415692329407, 2.0490415692329407, 1.5254532098770142, -1.5254532098770142)"
2025/09/16/14:08:56.000297,"(2.0135759711265564, 2.0135759711265564, 1.7556592226028442, -1.7556592226028442)"
2025/09/16/14:08:56.100501,"(1.9810014367103577, 1.9810014367103577, 1.5242325067520142, -1.5242325067520142)"
2025/09/16/14:08:56.200340,"(1.9810014367103577, 1.9810014367103577, 1.0657480955123901, -1.0657480955123901)"
2025/09/16/14:08:56.300359,"(1.9810014367103577, 1.9810014367103577, 0.0, 0.0)"
2025/09/16/14:08:56.400257,"(1.9810014367103577, 1.9810014367103577, 0.0, 0.0)"
2025/09/16/14:08:56.500379,"(1.9810014367103577, 1.9810014367103577, 0.0, 0.0)"
2025/09/16/14:08:56.600277,"(1.9896751642227173, 1.9896751642227173, 0.6259603500366211, -0.6259603500366211)"
2025/09/16/14:08:56.700301,"(1.9896751642227173, 1.9896751642227173, 1.0073453187942505, -1.0073453187942505)"
2025/09/16/14:08:56.800369,"(2.0018182396888733, 2.0018182396888733, 1.0020126104354858, -1.0020126104354858)"
2025/09/16/14:08:56.900313,"(2.0018182396888733, 2.0018182396888733, 0.0, 0.0)"
2025/09/16/14:08:57.000277,"(2.0018182396888733, 2.0018182396888733, 0.0, 0.0)"
2025/09/16/14:08:57.100293,"(2.0018182396888733, 2.0018182396888733, 0.0, 0.0)"
2025/09/16/14:08:57.200278,"(2.012804925441742, 2.012804925441742, 0.0, 0.0)"
2025/09/16/14:08:57.300283,"(2.012804925441742, 2.012804925441742, 0.6986265182495117, -0.6986265182495117)"
2025/09/16/14:08:57.400355,"(2.051354706287384, 2.051354706287384, 2.0, -2.0)"
2025/09/16/14:08:57.500284,"(2.051354706287384, 2.051354706287384, 0.0, 0.0)"
2025/09/16/14:08:57.600318,"(2.051354706287384, 2.051354706287384, 0.0, 0.0)"
2025/09/16/14:08:57.700254,"(2.051354706287384, 2.051354706287384, 0.0, 0.0)"
2025/09/16/14:08:57.800338,"(2.051354706287384, 2.051354706287384, 0.0, 0.0)"
2025/09/16/14:08:57.900293,"(2.051354706287384, 2.051354706287384, 0.8589289784431458, -0.8589289784431458)"
2025/09/16/14:08:58.000358,"(2.051354706287384, 2.051354706287384, 0.0, 0.0)"
2025/09/16/14:08:58.100288,"(2.051354706287384, 2.051354706287384, 0.0, 0.0)"
2025/09/16/14:08:58.200475,"(2.0858566761016846, 2.0858566761016846, 0.0, 0.0)"
2025/09/16/14:08:58.300310,"(2.5206971168518066, 2.5206971168518066, 0.0, 0.0)"
2025/09/16/14:08:58.400315,"(2.5206971168518066, 2.5206971168518066, 0.7199573516845703, -0.7199573516845703)"
2025/09/16/14:08:58.500312,"(2.5118308067321777, 2.5118308067321777, 0.8119626045227051, -0.8119626045227051)"
2025/09/16/14:08:58.600292,"(2.5118308067321777, 2.5118308067321777, 0.0, 0.0)"
2025/09/16/14:08:58.700280,"(2.5118308067321777, 2.5118308067321777, 0.0, 0.0)"
2025/09/16/14:08:58.800251,"(2.5118308067321777, 2.5118308067321777, 0.0, 0.0)"
2025/09/16/14:08:58.900383,"(2.5218536853790283, 2.5218536853790283, 0.0, 0.0)"
2025/09/16/14:08:59.000385,"(2.5218536853790283, 2.5218536853790283, 0.0, 0.0)"
2025/09/16/14:08:59.100325,"(2.5218536853790283, 2.5218536853790283, 0.0, 0.0)"
2025/09/16/14:08:59.219793,"(2.5866172313690186, 2.5866172313690186, 0.0, 0.0)"
2025/09/16/14:08:59.300308,"(2.5866172313690186, 2.5866172313690186, -1.0246926546096802, 1.0246926546096802)"
2025/09/16/14:08:59.402810,"(2.5866172313690186, 2.5866172313690186, 0.0, 0.0)"
2025/09/16/14:08:59.500318,"(2.5866172313690186, 2.5866172313690186, 0.0, 0.0)"
2025/09/16/14:08:59.600271,"(2.5866172313690186, 2.5866172313690186, 0.0, 0.0)"
2025/09/16/14:08:59.707599,"(2.5866172313690186, 2.5866172313690186, 0.0, 0.0)"
2025/09/16/14:08:59.801427,"(2.5866172313690186, 2.5866172313690186, 0.0, 0.0)"
2025/09/16/14:08:59.902091,"(2.6188060641288757, 2.6188060641288757, -0.6920087933540344, 0.6920087933540344)"
2025/09/16/14:09:00.000349,"(2.6301782727241516, 2.6301782727241516, -0.8395256400108337, 0.8395256400108337)"
2025/09/16/14:09:00.100339,"(2.6301782727241516, 2.6301782727241516, -1.3227460384368896, 1.3227460384368896)"
2025/09/16/14:09:00.200283,"(2.6301782727241516, 2.6301782727241516, 0.0, 0.0)"
2025/09/16/14:09:00.300346,"(2.6301782727241516, 2.6301782727241516, 0.0, 0.0)"
2025/09/16/14:09:00.400662,"(2.6085904240608215, 2.6085904240608215, -0.33234015107154846, 0.33234015107154846)"
2025/09/16/14:09:00.500461,"(2.6085904240608215, 2.6085904240608215, -1.9484076499938965, 1.9484076499938965)"
2025/09/16/14:09:00.600702,"(2.6085904240608215, 2.6085904240608215, -1.9484076499938965, 1.9484076499938965)"
2025/09/16/14:09:00.700283,"(2.6085904240608215, 2.6085904240608215, 0.0, 0.0)"
2025/09/16/14:09:00.800366,"(2.6085904240608215, 2.6085904240608215, 0.0, 0.0)"
2025/09/16/14:09:00.900294,"(2.6085904240608215, 2.6085904240608215, -2.0, 2.0)"
2025/09/16/14:09:01.000443,"(2.6085904240608215, 2.6085904240608215, -1.6816437244415283, 1.6816437244415283)"
2025/09/16/14:09:01.100358,"(2.6170713901519775, 2.6170713901519775, 0.0, 0.0)"
2025/09/16/14:09:01.200410,"(2.6467546820640564, 2.6467546820640564, 0.0, 0.0)"
2025/09/16/14:09:01.300293,"(2.835262656211853, 2.835262656211853, -2.0, 2.0)"
2025/09/16/14:09:01.400422,"(3.039190649986267, 3.039190649986267, -2.0, 2.0)"
2025/09/16/14:09:01.500352,"(3.039190649986267, 3.039190649986267, -2.0, 2.0)"
2025/09/16/14:09:01.600334,"(3.039190649986267, 3.039190649986267, -2.0, 2.0)"
2025/09/16/14:09:01.700279,"(3.051526665687561, 3.051526665687561, -2.0, 2.0)"
2025/09/16/14:09:01.800320,"(3.051526665687561, 3.051526665687561, -2.0, 2.0)"
2025/09/16/14:09:01.900289,"(3.051526665687561, 3.051526665687561, -2.0, 2.0)"
2025/09/16/14:09:02.000269,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:02.100285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:02.202142,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:02.300355,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:02.400317,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:02.500301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:02.600314,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:02.700316,"(5.457413077354431, 5.457413077354431, 0.0, 0.0)"
2025/09/16/14:09:02.800347,"(5.457413077354431, 5.457413077354431, 0.0, 0.0)"
2025/09/16/14:09:02.900337,"(5.592915058135986, 5.592915058135986, 0.0, 0.0)"
2025/09/16/14:09:03.000330,"(5.592915058135986, 5.592915058135986, -0.4804994761943817, 0.4804994761943817)"
2025/09/16/14:09:03.100400,"(5.028162002563477, 5.028162002563477, 0.0, 0.0)"
2025/09/16/14:09:03.200415,"(5.028162002563477, 5.028162002563477, 0.0, 0.0)"
2025/09/16/14:09:03.300301,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:03.400304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:03.500329,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:09:03.600411,"(4.497911095619202, 4.497911095619202, 0.1909462809562683, 0.1909462809562683)"
2025/09/16/14:09:03.700311,"(4.577708959579468, 4.577708959579468, -0.027736514806747437, 0.40962907671928406)"
2025/09/16/14:09:03.800287,"(4.706079483032227, 4.706079483032227, -1.1174079775810242, 1.4993005394935608)"
