time,.data
2025/09/16/14:06:50.600276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/14:06:50.700394,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:06:50.800274,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:06:50.900309,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:06:51.000324,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:06:51.100262,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:06:51.200297,"(0.07722468115389347, 0.07722468115389347, 0.0, 0.0)"
2025/09/16/14:06:51.300257,"(1.4505575895309448, 1.4505575895309448, 0.0, 0.0)"
2025/09/16/14:06:51.400317,"(1.3119714260101318, 1.3119714260101318, 0.0, 0.0)"
2025/09/16/14:06:51.500349,"(1.420488864183426, 1.420488864183426, -0.025484561920166016, 0.025484561920166016)"
2025/09/16/14:06:51.600312,"(2.3140708208084106, 2.3140708208084106, -0.24091310799121857, 0.24091310799121857)"
2025/09/16/14:06:51.700247,"(1.7009378671646118, 1.7009378671646118, 0.0, 0.0)"
2025/09/16/14:06:51.800428,"(1.3539906442165375, 1.3539906442165375, 0.0, 0.0)"
2025/09/16/14:06:51.900320,"(2.059642732143402, 2.059642732143402, 0.0, 0.0)"
2025/09/16/14:06:52.000326,"(2.0126121640205383, 2.0126121640205383, 0.0, 0.0)"
2025/09/16/14:06:52.100328,"(1.9759899973869324, 1.9759899973869324, 0.0, 0.0)"
2025/09/16/14:06:52.200281,"(2.0473068952560425, 2.0473068952560425, -1.5949711799621582, 1.5949711799621582)"
2025/09/16/14:06:52.300324,"(2.075255513191223, 2.075255513191223, 0.0, 0.0)"
2025/09/16/14:06:52.400339,"(2.089326024055481, 2.089326024055481, 0.0, 0.0)"
2025/09/16/14:06:52.500271,"(2.5925922989845276, 2.5925922989845276, 0.0, 0.0)"
2025/09/16/14:06:52.600330,"(3.82888126373291, 3.82888126373291, 0.0, 0.0)"
2025/09/16/14:06:52.700286,"(3.82888126373291, 3.82888126373291, 0.0, 0.0)"
2025/09/16/14:06:52.800273,"(3.82888126373291, 3.82888126373291, 0.0, 0.0)"
2025/09/16/14:06:52.900384,"(3.077933192253113, 3.077933192253113, 0.0, 0.0)"
2025/09/16/14:06:53.000397,"(0.523437425494194, 0.523437425494194, 0.0, 0.0)"
2025/09/16/14:06:53.100264,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/14:06:53.200290,"(0.12714653089642525, 0.12714653089642525, 0.0, 0.0)"
2025/09/16/14:06:53.300407,"(2.1220933198928833, 2.1220933198928833, 0.0, 0.0)"
2025/09/16/14:06:53.400370,"(1.351870357990265, 1.351870357990265, -0.04387919045984745, -0.04387919045984745)"
2025/09/16/14:06:53.500382,"(2.244874119758606, 2.244874119758606, 0.0, 0.0)"
2025/09/16/14:06:53.600451,"(2.280918002128601, 2.280918002128601, 0.0, 0.0)"
2025/09/16/14:06:53.700418,"(2.280918002128601, 2.280918002128601, 0.0, 0.0)"
2025/09/16/14:06:53.800285,"(2.398880124092102, 2.398880124092102, 0.0, 0.0)"
2025/09/16/14:06:53.900307,"(2.357632040977478, 2.357632040977478, 0.0, 0.0)"
2025/09/16/14:06:54.000305,"(2.357632040977478, 2.357632040977478, 0.0, 0.0)"
2025/09/16/14:06:54.100700,"(2.3437541127204895, 2.3437541127204895, 0.0, 0.0)"
2025/09/16/14:06:54.200355,"(2.136356770992279, 2.136356770992279, 0.0, 0.0)"
2025/09/16/14:06:54.300306,"(2.1032039523124695, 2.1032039523124695, 0.0, 0.0)"
2025/09/16/14:06:54.400394,"(2.118431031703949, 2.118431031703949, 0.0, 0.0)"
2025/09/16/14:06:54.500355,"(2.2192384600639343, 2.2192384600639343, 0.08742107450962067, -0.08742107450962067)"
2025/09/16/14:06:54.600403,"(2.2070953845977783, 2.2070953845977783, 0.7547163367271423, -0.7547163367271423)"
2025/09/16/14:06:54.700272,"(2.230803430080414, 2.230803430080414, 1.0548256635665894, -1.0548256635665894)"
2025/09/16/14:06:54.800287,"(2.3643781542778015, 2.3643781542778015, 0.9615997076034546, -0.9615997076034546)"
2025/09/16/14:06:54.900355,"(2.5401647686958313, 2.5401647686958313, 0.0, 0.0)"
2025/09/16/14:06:55.000371,"(2.57563054561615, 2.57563054561615, 0.0, 0.0)"
2025/09/16/14:06:55.100295,"(2.588159143924713, 2.588159143924713, 0.0, 0.0)"
2025/09/16/14:06:55.200583,"(2.588159143924713, 2.588159143924713, 0.0, 0.0)"
2025/09/16/14:06:55.300435,"(2.601266026496887, 2.601266026496887, 0.0, 0.0)"
2025/09/16/14:06:55.400403,"(2.6735467314720154, 2.6735467314720154, -0.2959749400615692, 0.2959749400615692)"
2025/09/16/14:06:55.500462,"(2.6735467314720154, 2.6735467314720154, 0.0, 0.0)"
