time,.data
2025/09/16/13:43:11.500271,"(-0.0, -0.0, 1.9027905464172363, -1.9027905464172363)"
2025/09/16/13:43:11.600284,"(-0.0, -0.0, 1.6769535541534424, -1.6769535541534424)"
2025/09/16/13:43:11.700284,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:43:11.800331,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:43:11.900353,"(0.26303422451019287, 0.26303422451019287, 0.0, 0.0)"
2025/09/16/13:43:12.000390,"(2.72115558385849, 2.72115558385849, 0.18632031977176666, 0.18632031977176666)"
2025/09/16/13:43:12.100313,"(2.72115558385849, 2.72115558385849, 0.18632031977176666, 0.18632031977176666)"
2025/09/16/13:43:12.200364,"(2.5195407271385193, 2.5195407271385193, 0.18632031977176666, 0.18632031977176666)"
2025/09/16/13:43:12.300281,"(2.5062410831451416, 2.5062410831451416, 0.18632031977176666, 0.18632031977176666)"
2025/09/16/13:43:12.400377,"(2.5062410831451416, 2.5062410831451416, -1.790035828948021, 2.1626764684915543)"
2025/09/16/13:43:12.500323,"(2.5062410831451416, 2.5062410831451416, -1.8136796802282333, 2.1863203197717667)"
2025/09/16/13:43:12.600292,"(2.4925559163093567, 2.4925559163093567, -1.475791558623314, 1.8484321981668472)"
2025/09/16/13:43:12.700485,"(2.4925559163093567, 2.4925559163093567, -1.1902025789022446, 1.562843218445778)"
2025/09/16/13:43:12.804440,"(2.4925559163093567, 2.4925559163093567, -1.1902025789022446, 1.562843218445778)"
2025/09/16/13:43:12.900390,"(2.4925559163093567, 2.4925559163093567, -1.1855124086141586, 1.558153048157692)"
2025/09/16/13:43:13.000248,"(2.4925559163093567, 2.4925559163093567, -1.1812718957662582, 1.5539125353097916)"
2025/09/16/13:43:13.100308,"(2.4925559163093567, 2.4925559163093567, -1.1812718957662582, 1.5539125353097916)"
2025/09/16/13:43:13.200270,"(2.4925559163093567, 2.4925559163093567, -1.4212437719106674, 1.7938844114542007)"
2025/09/16/13:43:13.300350,"(2.5023860335350037, 2.5023860335350037, -1.6101372987031937, 2.3898627012968063)"
2025/09/16/13:43:13.400273,"(2.623432159423828, 2.623432159423828, -1.2336995005607605, 2.7663004994392395)"
