time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2025/09/16/13:35:12.713278,126418,1758047712,713206530,odom,base_link,1.3384099375928278,0.29714493247438123,0.033908110223396834,-0.004342132385390907,-0.0032535136464316196,-0.8678496298451546,0.4967973233753668,"(0.0018501050556380453, 7.462378428602387e-10, -1.9701969839574895e-07, -5.850603836963785e-12, -1.4352547183980763e-12, 3.137844033152617e-10, 7.462378428563596e-10, 0.0018501030700672264, -1.0776540662730974e-07, 1.1408695469913506e-12, -2.5372354855258652e-12, -8.705199533567717e-12, -1.97019698395749e-07, -1.0776540662730963e-07, 0.0011006474734259304, 3.812966883025644e-12, -1.084542909421817e-11, -9.655718245428352e-13, -5.850603836963872e-12, 1.1408695469913873e-12, 3.812966883025689e-12, 0.0005433390678136183, 1.4950795991195767e-09, -5.883007600116517e-07, -1.435254718398076e-12, -2.5372354855258313e-12, -1.0845429094218262e-11, 1.4950795991195784e-09, 0.0005433337420367204, 4.68438587345759e-08, 3.1378440331526414e-10, -8.705199533567861e-12, -9.655718245428514e-13, -5.883007600116518e-07, 4.6843858734575923e-08, 0.001865449457460086)",0.06813045230297604,0.05820762410911172,0.04123923708261479,-0.007058457622069366,0.0051684682488949,0.11710959451645184,"(0.18441209376610032, -8.471939873345898e-06, -0.0004987755254343704, 1.2206970269580703e-09, 5.693501265055613e-09, -4.7028735623345996e-07, -8.471939873346393e-06, 0.18440859649342597, -0.0005095151245568263, -5.918233445465844e-09, 1.3794852184389216e-09, 8.521885937075979e-07, -0.0004987755254343704, -0.0005095151245568264, 0.07956945629025095, 8.575579814699511e-09, -3.010321832931133e-08, 8.830339971072735e-10, 1.2206970269580734e-09, -5.9182334454660605e-09, 8.575579814699647e-09, 0.01757838328965596, 7.177736290537572e-06, 0.0006350886246626954, 5.693501265055512e-09, 1.3794852184388785e-09, -3.010321832931162e-08, 7.1777362905375754e-06, 0.017575686149108916, 0.00045658393187839757, -4.7028735623346335e-07, 8.521885937076046e-07, 8.830339971072502e-10, 0.0006350886246626953, 0.0004565839318783976, 0.23604422513489803)"
2025/09/16/13:35:12.733288,126419,1758047712,733211279,odom,base_link,1.3387261902208776,0.29538311436820497,0.03475195168915055,-0.004336263635123906,-0.003161468388364564,-0.8672675472645347,0.4978134222749262,"(0.00405371102194774, 4.4101365007669966e-09, -8.962276574376162e-07, -3.922049715833818e-07, -2.337392600783692e-07, 3.432269069015976e-06, 4.410136500752775e-09, 0.004053696624481082, -4.8203414452995e-07, 2.353790810506434e-07, -4.0041886360646176e-07, 6.150953109003876e-07, -8.962276574376164e-07, -4.820341445299502e-07, 0.0023895947465268504, 6.384234015260804e-07, -7.484434173613199e-07, -1.5057432995792567e-09, -3.922049715833816e-07, 2.3537908105064337e-07, 6.384234015260802e-07, 0.001163010744945095, 6.6942097799454256e-09, -2.6020734534764774e-06, -2.337392600783692e-07, -4.0041886360646176e-07, -7.484434173613202e-07, 6.6942097799450235e-09, 0.0011629879283120365, 2.1774351843532458e-07, 3.4322690690159764e-06, 6.150953109003877e-07, -1.5057432995792569e-09, -2.6020734534764774e-06, 2.1774351843532458e-07, 0.004123272113654445)",0.06864743275075187,0.058360295366183416,0.041501382325088716,-0.007058457622069366,0.0051684682488949,0.11710959451645184,"(0.19074112802869198, -8.526208208259594e-06, -0.0005031952044788078, 1.2248283197084682e-09, 5.7113905063157525e-09, -4.7185982964226544e-07, -8.526208208260094e-06, 0.19073760570199816, -0.0005143199383224079, -5.9364741962028745e-09, 1.3836579865252145e-09, 8.550428355338864e-07, -0.0005031952044788079, -0.000514319938322408, 0.08161350897201212, 8.59865407649699e-09, -3.029692287839925e-08, 8.885202532355233e-10, 1.2248283197084711e-09, -5.936474196203092e-09, 8.598654076497124e-09, 0.017778430782636915, 7.177736290537572e-06, 0.0006350886246626954, 5.7113905063156524e-09, 1.3836579865251715e-09, -3.029692287839954e-08, 7.1777362905375754e-06, 0.017775733642089873, 0.00045658393187839757, -4.7185982964226883e-07, 8.550428355338932e-07, 8.885202532354998e-10, 0.0006350886246626953, 0.0004565839318783976, 0.24604659978394589)"
2025/09/16/13:35:12.753327,126420,1758047712,748645306,odom,base_link,1.3175076231908545,0.3100094204665857,-0.017553969078250877,-0.009504393182929675,-0.003816512745022779,-0.8667221399689665,0.4986861065122092,"(9.999992690726076e-10, -1.0614180040527815e-21, -2.1728322701064667e-19, -8.852560882219044e-24, -4.8766990328371757e-26, 1.0252830258736397e-22, -1.0614180040535709e-21, 9.99999269072522e-10, -1.7302167144571758e-19, 3.5267486449196686e-25, -1.9998800340139898e-24, 2.12866755526135e-24, -2.1728322701064667e-19, -1.7302167144571732e-19, 9.999987739616146e-10, 5.915934813428813e-24, -1.9699671975353637e-23, -2.0021210017589323e-24, -8.852560882219116e-24, 3.526748644919897e-25, 5.915934813428799e-24, 9.99997524490935e-10, -8.205718557865525e-21, -1.319610432341432e-18, -4.8766990328387065e-26, -1.99988003401398e-24, -1.969967197535391e-23, -8.20571855786552e-21, 9.999975244128568e-10, 2.4376176040689486e-19, 1.0252830258736527e-22, 2.1286675552613114e-24, -2.0021210017589514e-24, -1.319610432341432e-18, 2.4376176040689486e-19, 9.999992736309011e-10)",0.06332752024017435,0.014509746298767855,-0.024115782380888965,-0.009274363749688399,-0.00030133117815322265,0.11831295634062487,"(0.178836694772457, -6.910431356941294e-06, -0.0004935309865022576, 1.5648131496337303e-09, 7.503582303927592e-09, -5.346363500182274e-07, -6.91043135693855e-06, 0.17883520547720205, -0.00044247149496177377, -7.47508002194353e-09, 1.515454190807406e-09, 8.711060215502103e-07, -0.0004935309865022576, -0.0004424714949617737, 0.0777699315830957, 9.573662924180108e-09, -3.0946648752389985e-08, 4.947022240119999e-10, 1.5648131496336467e-09, -7.475080021943515e-09, 9.573662924180081e-09, 0.017399826105828842, 6.792851450866408e-06, 0.0006354370606783016, 7.503582303927589e-09, 1.5154541908073329e-09, -3.0946648752390475e-08, 6.792851450866411e-06, 0.017396893851369978, 0.0003954845397396808, -5.346363500182336e-07, 8.711060215502216e-07, 4.947022240120288e-10, 0.0006354370606783014, 0.0003954845397396808, 0.2272339000467669)"
2025/09/16/13:35:12.763298,126421,1758047712,755281687,odom,base_link,1.3183346972510939,0.30923545414035136,-0.015929938059760684,-0.009535189780151988,-0.0035076902194363857,-0.8665619851728585,0.49896603303076215,"(9.99998510852156e-10, -1.0378681343945484e-21, -2.3111078256201055e-19, -8.01131119405849e-24, 5.710028041100542e-25, 1.0047506326289701e-22, -1.0378681343960133e-21, 9.999985108524694e-10, -1.595109520025291e-19, 9.007634966384682e-26, -1.5388321571979512e-24, 2.079868987906529e-24, -2.311107825620105e-19, -1.5951095200252922e-19, 9.999975100833568e-10, 6.6167934894908266e-24, -2.223633299613629e-23, -2.0594530385078968e-24, -8.011311194058557e-24, 9.007634966387013e-26, 6.616793489490815e-24, 9.999949965650164e-10, -1.2506836223883145e-20, -1.3002703361764233e-18, 5.710028041100439e-25, -1.5388321571979393e-24, -2.2236332996136546e-23, -1.250683622388314e-20, 9.99994996492569e-10, 3.2603985973076207e-19, 1.0047506326289829e-22, 2.0798689879065013e-24, -2.059453038507917e-24, -1.3002703361764231e-18, 3.260398597307622e-19, 9.999985155532717e-10)",0.06328186161584472,0.01626539346901818,-0.021904023714581805,-0.009561013971178419,-0.00015416938251067706,0.11808398536592991,"(0.17881259845975897, -6.648154104916836e-06, -0.0004972903264817668, 1.522643624584814e-09, 7.4157839573392045e-09, -5.210769634552474e-07, -6.648154104914272e-06, 0.17881152955113155, -0.0004331247808231092, -7.335780855371473e-09, 1.4625548809229835e-09, 8.490046375856254e-07, -0.0004972903264817669, -0.00043312478082310914, 0.07776708311651073, 9.465513545490386e-09, -3.0629747386988005e-08, 5.500759512063147e-10, 1.5226436245847313e-09, -7.335780855371457e-09, 9.46551354549036e-09, 0.017399545799372574, 6.745952858528194e-06, 0.0006409921551440717, 7.415783957339201e-09, 1.462554880922911e-09, -3.062974738698849e-08, 6.745952858528197e-06, 0.017396548161986238, 0.00038639258814479664, -5.210769634552535e-07, 8.490046375856364e-07, 5.500759512063437e-10, 0.0006409921551440716, 0.00038639258814479664, 0.22717136643147826)"
2025/09/16/13:35:12.773443,126422,1758047712,773213148,odom,base_link,1.3180103067385607,0.30809821306502055,-0.016302622981476042,-0.009582967190618965,-0.0034240544335474507,-0.8660335229891727,0.49988236581221973,"(0.0018508209358110345, -3.2958092919399713e-09, -4.636615270948083e-07, -8.32390665723963e-12, 3.7076609872254315e-13, 3.2190965756319924e-10, -3.2958092919412547e-09, 0.001850822565618041, -2.977677831921905e-07, 4.575016797349375e-13, -2.1022977908179095e-12, 7.515493113354999e-12, -4.63661527094808e-07, -2.9776778319219003e-07, 0.0011010756772078872, 3.4380444640617646e-12, -1.1001631821505023e-11, -4.090896277694505e-12, -8.323906657239693e-12, 4.575016797349603e-13, 3.4380444640617565e-12, 0.0005435605127489127, -4.254433127602065e-09, -1.2572092810725093e-06, 3.7076609872253487e-13, -2.1022977908178994e-12, -1.1001631821505177e-11, -4.2544331276020645e-09, 0.0005435401507070638, 3.561277921038493e-07, 3.219096575632032e-10, 7.515493113354902e-12, -4.090896277694546e-12, -1.2572092810725093e-06, 3.5612779210384935e-07, 0.0018662189370973468)",0.06372606356129973,0.01626710325398543,-0.02210446025683168,-0.009561013971178419,-0.00015416938251067706,0.11808398536592991,"(0.1844476052378247, -6.685340277351571e-06, -0.0005012876002011128, 1.5273051028182344e-09, 7.437244066176888e-09, -5.226507390041482e-07, -6.685340277349007e-06, 0.184446529926067, -0.00043668954758983175, -7.35663947403411e-09, 1.4665940265254902e-09, 8.515563855067986e-07, -0.0005012876002011129, -0.0004366895475898317, 0.07957277493568599, 9.49323542819613e-09, -3.080532189765849e-08, 5.524737590792193e-10, 1.5273051028181515e-09, -7.356639474034095e-09, 9.4932354281961e-09, 0.01757886041271486, 6.745952858528194e-06, 0.0006409921551440717, 7.437244066176885e-09, 1.4665940265254177e-09, -3.080532189765897e-08, 6.745952858528197e-06, 0.017575862775328525, 0.00038639258814479664, -5.226507390041543e-07, 8.515563855068096e-07, 5.524737590792486e-10, 0.0006409921551440716, 0.00038639258814479664, 0.2361370970985925)"
2025/09/16/13:35:12.783392,126423,1758047712,783250570,odom,base_link,1.3178282838055484,0.30745822346865437,-0.016512776087574003,-0.009609682233324002,-0.0033772227577779923,-0.8657372815029727,0.5003950517237973,"(0.00293790760035933, -8.305945781639369e-09, -1.1380999872319193e-06, 1.0526589932291026e-07, 5.769584530297553e-08, 1.2209956972496287e-06, -8.305945781642746e-09, 0.002937911044636146, -7.271579076953628e-07, -5.89698130689591e-08, 9.944537933891717e-08, -3.468088938284011e-07, -1.1380999872319193e-06, -7.27157907695362e-07, 0.0017397224547507039, 8.840233536140133e-08, -3.528603834656627e-07, -6.779488397101342e-10, 1.0526589932291028e-07, -5.8969813068959124e-08, 8.840233536140133e-08, 0.0008527487944738786, -1.040524123405849e-08, -3.0742634625726842e-06, 5.769584530297553e-08, 9.944537933891717e-08, -3.528603834656628e-07, -1.0405241234058677e-08, 0.0008526991416977264, 8.715847040670099e-07, 1.220995697249629e-06, -3.468088938284012e-07, -6.779488397101343e-10, -3.074263462572685e-06, 8.715847040670099e-07, 0.0029755669379612896)",0.06397471270242,0.01626806033345786,-0.022216657816048802,-0.009561013971178419,-0.00015416938251067706,0.11808398536592991,"(0.18761763872272946, -6.706208163437556e-06, -0.0005035324709202519, 1.5299144397897409e-09, 7.449256705215134e-09, -5.235316850300586e-07, -6.706208163434992e-06, 0.18761655980780073, -0.0004386922304366473, -7.3683154193299096e-09, 1.468855002856637e-09, 8.529847672044636e-07, -0.000503532470920252, -0.0004386922304366473, 0.080594468555873, 9.508753195273804e-09, -3.090360253719083e-08, 5.538159703735856e-10, 1.5299144397896578e-09, -7.368315419329895e-09, 9.508753195273773e-09, 0.01767923463451662, 6.745952858528194e-06, 0.0006409921551440717, 7.4492567052151316e-09, 1.4688550028565641e-09, -3.0903602537191315e-08, 6.745952858528197e-06, 0.017676236997130283, 0.00038639258814479664, -5.235316850300647e-07, 8.529847672044746e-07, 5.538159703736149e-10, 0.0006409921551440716, 0.00038639258814479664, 0.2411558081886804)"
2025/09/16/13:35:12.793725,126424,1758047712,793315887,odom,base_link,1.31764523555496,0.30681405929986494,-0.01672461502862978,-0.009636468215428675,-0.0033302597437818494,-0.8654399094055888,0.5009089848050429,"(0.004065906751523925, -1.617063789504153e-08, -2.1267920811908277e-06, 2.713531647278576e-07, 1.4929591523730793e-07, 3.205642053065962e-06, -1.6170637895029814e-08, 0.004065911415539178, -1.3554231795862443e-06, -1.5192611521625625e-07, 2.573619058632666e-07, -9.100225276886619e-07, -2.126792081190828e-06, -1.3554231795862432e-06, 0.002396590420979681, 2.275460100199268e-07, -9.122457052458412e-07, -2.3635516552971404e-09, 2.713531647278576e-07, -1.519261152162563e-07, 2.2754601001992677e-07, 0.001166377952116419, -1.9643802970808102e-08, -5.731594604953717e-06, 1.4929591523730795e-07, 2.573619058632667e-07, -9.122457052458412e-07, -1.9643802970808522e-08, 0.0011662855199261258, 1.6358720998193523e-06, 3.2056420530659625e-06, -9.100225276886621e-07, -2.363551655297141e-09, -5.731594604953719e-06, 1.6358720998193523e-06, 0.0041363044808720995)",0.06422405286371868,0.01626902007274735,-0.02232916718320959,-0.009561013971178419,-0.00015416938251067706,0.11808398536592991,"(0.19080786610890832, -6.727171761412218e-06, -0.0005057888655100166, 1.5325310283628072e-09, 7.461302728547145e-09, -5.244150792907679e-07, -6.727171761409655e-06, 0.19080678356716088, -0.00044070570268930166, -7.380023813214773e-09, 1.4711222626611977e-09, 8.544171185139726e-07, -0.0005057888655100168, -0.00044070570268930166, 0.08162692862066172, 9.524314087737419e-09, -3.1002156308191706e-08, 5.55161911803853e-10, 1.532531028362724e-09, -7.380023813214759e-09, 9.524314087737386e-09, 0.017779887806055925, 6.745952858528194e-06, 0.0006409921551440717, 7.461302728547141e-09, 1.471122262661125e-09, -3.100215630819219e-08, 6.745952858528197e-06, 0.01777689016866959, 0.00038639258814479664, -5.24415079290774e-07, 8.544171185139836e-07, 5.551619118038825e-10, 0.0006409921551440716, 0.00038639258814479664, 0.24618846676564574)"
2025/09/16/13:35:12.813577,126425,1758047712,795298100,odom,base_link,1.3233327745674568,0.30460784870087393,-0.006010346677277644,-0.009611865647387424,-0.0019716889385185407,-0.8655768738425379,0.5006799376352975,"(9.999949729863356e-10, -1.006233999592238e-21, -2.4667606980813097e-19, -7.69316671622338e-24, 1.3264870566888624e-24, 1.0620781400726831e-22, -1.0062339995919498e-21, 9.9999497298734e-10, -1.3254645820593006e-19, 4.132207290982651e-25, -1.2971792302745018e-24, -3.462062338780739e-24, -2.46676069808131e-19, -1.3254645820592997e-19, 9.999916135483123e-10, 7.212593820917893e-24, -2.340268372864332e-23, -2.4596013610588467e-24, -7.69316671622347e-24, 4.1322072909828486e-25, 7.212593820917834e-24, 9.99983203522589e-10, -1.8837143308513344e-20, -1.2350319407532128e-18, 1.3264870566888718e-24, -1.2971792302744488e-24, -2.340268372864357e-23, -1.883714330851333e-20, 9.99983203463218e-10, 4.613485103236095e-19, 1.0620781400726965e-22, -3.4620623387809806e-24, -2.4596013610588688e-24, -1.2350319407532128e-18, 4.613485103236097e-19, 9.999949777841802e-10)",0.06301365236682714,0.026558283284356114,-0.008576645040666688,-0.010887018590253544,0.0006482475819794663,0.11703388298531348,"(0.17878943182516, -5.119635204915041e-06, -0.0005174128676374179, 1.0876660612770555e-09, 5.4695375512584934e-09, -4.979394431807358e-07, -5.1196352049159606e-06, 0.1787905560775493, -0.0003774159689889261, -5.122894760477824e-09, 8.886859420735727e-10, 9.268615516162181e-07, -0.0005174128676374182, -0.0003774159689889261, 0.07776400140680843, 9.163436855896387e-09, -3.1937525176174755e-08, -6.21464658968198e-10, 1.0876660612770453e-09, -5.122894760477836e-09, 9.163436855896278e-09, 0.01739938873389995, 6.444673861795332e-06, 0.0006704171153363501, 5.4695375512583545e-09, 8.886859420734557e-10, -3.193752517617522e-08, 6.4446738617953345e-06, 0.017396014325720972, 0.0003326560513788588, -4.979394431807404e-07, 9.268615516162309e-07, -6.214646589681764e-10, 0.00067041711533635, 0.0003326560513788588, 0.22710884793614)"
2025/09/16/13:35:12.823367,126426,1758047712,821956635,odom,base_link,1.326660989444874,0.3016401235214216,0.0006384333158545572,-0.009662639236051592,-0.0012348579592488971,-0.8649251628493585,0.5018063084486134,"(9.999985154385932e-10, -8.1251532907865625e-22, -2.595761833384623e-19, -7.106004579472972e-24, 1.5096161905075944e-24, 9.595001976780808e-23, -8.125153290800214e-22, 9.999985154402786e-10, -9.731073840116268e-20, 6.600148317031661e-25, -1.7642469965772766e-24, -2.6315265959040016e-24, -2.595761833384624e-19, -9.731073840116286e-20, 9.999975177284237e-10, 7.613437931436045e-24, -2.2214088781202985e-23, -2.385432979977997e-24, -7.106004579473046e-24, 6.600148317031832e-25, 7.613437931435989e-24, 9.999950118370279e-10, -2.377712764144102e-20, -1.1249785748654767e-18, 1.5096161905076109e-24, -1.7642469965772277e-24, -2.2214088781203232e-23, -2.3777127641441012e-20, 9.9999501179574e-10, 5.991008608188795e-19, 9.595001976780931e-23, -2.631526595904218e-24, -2.385432979978017e-24, -1.1249785748654767e-18, 5.991008608188796e-19, 9.999985201363139e-10)",0.06262854911669903,0.03276972946948315,2.306927565513065e-05,-0.011463433113949229,0.0010037037236755415,0.11608006503760611,"(0.17881356627455183, -4.041054974507486e-06, -0.0005261557523934291, 9.754959123579474e-10, 5.2402208608997145e-09, -4.4957066855492713e-07, -4.041054974507595e-06, 0.1788155355093618, -0.0003367287700766099, -4.739709045393307e-09, 6.958710326907168e-10, 8.368308482489752e-07, -0.0005261557523934292, -0.00033672877007660996, 0.0777665395601956, 8.753740056001686e-09, -3.064449965572983e-08, -3.0359579840831024e-10, 9.754959123579374e-10, -4.739709045393318e-09, 8.753740056001577e-09, 0.017399783149294835, 6.2035090136896495e-06, 0.0006831397916054988, 5.240220860899585e-09, 6.958710326906046e-10, -3.0644499655730275e-08, 6.203509013689652e-06, 0.01739619121170382, 0.0002936614171001844, -4.4957066855493126e-07, 8.368308482489868e-07, -3.035957984082871e-10, 0.0006831397916054986, 0.0002936614171001844, 0.22716749309930698)"
2025/09/16/13:35:12.833277,126427,1758047712,833208799,odom,base_link,1.3266308056096439,0.3008439574479038,0.0006484252642232151,-0.009690969572634125,-0.0011699499318817185,-0.8645973924029258,0.5023704463600146,"(0.0011479000461650688, -1.0124956457732506e-09, -2.019731983937757e-07, -2.7209632295693013e-12, 5.920892653952856e-13, 1.211650156146001e-10, -1.0124956457720282e-09, 0.0011479023057481832, -7.223119566468285e-08, 2.6552932855146805e-13, -6.989963477854606e-13, -3.2136361276090874e-12, -2.0197319839377575e-07, -7.223119566468277e-08, 0.0006850230375959527, 1.5190851327369252e-12, -4.600056399357164e-12, -1.835247606905694e-12, -2.7209632295693303e-12, 2.6552932855147476e-13, 1.5190851327369112e-12, 0.0003397751337487155, -2.8348268357090798e-09, -4.300310176544427e-07, 5.920892653952924e-13, -6.989963477854419e-13, -4.60005639935722e-12, -2.8348268357090794e-09, 0.0003397705924934585, 2.3806940499145156e-07, 1.211650156146017e-10, -3.213636127609364e-12, -1.8352476069057114e-12, -4.300310176544427e-07, 2.3806940499145158e-07, 0.0011539866789324034)",0.06290271630248262,0.032803754294366834,-5.0504105498057545e-06,-0.011463433113949229,0.0010037037236755415,0.11608006503760611,"(0.18234536693527859, -4.0540381320269216e-06, -0.0005288608412540748, 9.773173546556728e-10, 5.249224222673244e-09, -4.5041239569167824e-07, -4.054038132027033e-06, 0.18234734473342262, -0.00033836757586610904, -4.747561942544899e-09, 6.968975432028773e-10, 8.38403451597629e-07, -0.000528860841254075, -0.00033836757586610904, 0.07889670352160762, 8.768522886026602e-09, -3.07527780025737e-08, -3.056385845877184e-10, 9.773173546556627e-10, -4.7475619425449105e-09, 8.768522886026492e-09, 0.017512304797701817, 6.2035090136896495e-06, 0.0006831397916054988, 5.249224222673114e-09, 6.96897543202765e-10, -3.0752778002574146e-08, 6.203509013689652e-06, 0.0175087128601108, 0.0002936614171001844, -4.504123956916824e-07, 8.384034515976405e-07, -3.05638584587695e-10, 0.0006831397916054986, 0.0002936614171001844, 0.2327935755196561)"
