time,.data
2025/09/16/13:26:23.900325,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.000353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.100287,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.200306,"(-6.0, -6.0, 1.1760002374649048, -1.1760002374649048)"
2025/09/16/13:26:24.300371,"(-6.0, -6.0, 0.705886721611023, -0.705886721611023)"
2025/09/16/13:26:24.400297,"(-6.0, -6.0, 0.705886721611023, -0.705886721611023)"
2025/09/16/13:26:24.500346,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.600293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.700405,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.800253,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:24.900312,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.000304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.100307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.200427,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.300318,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.400421,"(-6.0, -6.0, -0.7089064121246338, 0.7089064121246338)"
2025/09/16/13:26:25.503827,"(-6.0, -6.0, -0.7089064121246338, 0.7089064121246338)"
2025/09/16/13:26:25.600364,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.700404,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.800256,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:25.900305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.000277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.100305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.200443,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.300308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.400276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.500293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.600359,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.700286,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:26.800341,"(-6.0, -6.0, -2.0, 2.0)"
2025/09/16/13:26:26.900261,"(-6.0, -6.0, -2.0, 2.0)"
2025/09/16/13:26:27.000547,"(-6.0, -6.0, -2.0, 2.0)"
2025/09/16/13:26:27.100317,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:27.200409,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:27.300290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:27.400380,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:27.500341,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:27.600276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:27.700390,"(-6.0, -6.0, -1.8713724613189697, 1.8713724613189697)"
2025/09/16/13:26:27.800861,"(-6.0, -6.0, -1.8713724613189697, 1.8713724613189697)"
2025/09/16/13:26:27.900419,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:28.000308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:28.100346,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:28.200377,"(-6.0, -6.0, -1.7996090352535248, 2.200390964746475)"
2025/09/16/13:26:28.300327,"(-6.0, -6.0, -1.7996090352535248, 2.200390964746475)"
2025/09/16/13:26:28.400269,"(-6.0, -6.0, -1.7996090352535248, 2.200390964746475)"
2025/09/16/13:26:28.500264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:28.603531,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:28.700323,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:28.800267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:28.900311,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:29.000248,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:29.100287,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.200237,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.300294,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.400275,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.500292,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.600281,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.700260,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.800338,"(-0.0, -0.0, -2.0, 2.0)"
2025/09/16/13:26:29.900337,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.000370,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.100353,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.200315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.300266,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.400306,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.502090,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.600262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.700356,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.800307,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:30.900263,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:31.000294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:31.101161,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:31.200285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:31.300388,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:31.400346,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:31.500268,"(0.0, 0.0, 0.0, 0.0)"
