time,.data
2025/09/16/13:35:19.900916,"(3.7379039525985718, 3.7379039525985718, 8.0, 4.0)"
2025/09/16/13:35:20.000297,"(3.7379039525985718, 3.7379039525985718, 8.0, 4.0)"
2025/09/16/13:35:20.100452,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:20.200343,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:20.300297,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:20.400394,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:20.500275,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:20.600324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:20.700277,"(3.1602365970611572, 3.1602365970611572, 8.0, 4.0)"
2025/09/16/13:35:20.800259,"(3.1602365970611572, 3.1602365970611572, 8.0, 4.0)"
2025/09/16/13:35:20.900258,"(3.1602365970611572, 3.1602365970611572, 8.0, 4.0)"
2025/09/16/13:35:21.000279,"(3.1602365970611572, 3.1602365970611572, 8.0, 4.0)"
2025/09/16/13:35:21.100250,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:21.200305,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:21.301003,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:21.400456,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:21.500368,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:21.600340,"(6.0, 6.0, 0.5119785219430923, -0.024845287203788757)"
2025/09/16/13:35:21.700307,"(6.0, 6.0, 0.5775129944086075, -0.0903797596693039)"
2025/09/16/13:35:21.800309,"(6.0, 6.0, 0.2435666173696518, 0.2435666173696518)"
2025/09/16/13:35:21.900339,"(6.0, 6.0, 0.2435666173696518, 0.2435666173696518)"
2025/09/16/13:35:22.001185,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:22.100385,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:22.200274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:22.300280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:22.400443,"(-0.0, -0.0, 0.06943121552467346, -0.06943121552467346)"
2025/09/16/13:35:22.500388,"(4.02413535118103, 4.02413535118103, 4.712931752204895, 1.474159836769104)"
2025/09/16/13:35:22.600280,"(5.679266452789307, 5.679266452789307, 5.976911783218384, 2.9406542778015137)"
2025/09/16/13:35:22.700956,"(6.0, 6.0, 1.4326095432043076, 1.038291111588478)"
2025/09/16/13:35:22.800276,"(5.1073819398880005, 5.1073819398880005, 0.0, 0.0)"
2025/09/16/13:35:22.900302,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:23.000268,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:23.100274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:23.200498,"(2.8647531867027283, 2.8647531867027283, -0.533074826002121, -0.533074826002121)"
2025/09/16/13:35:23.300350,"(5.859871745109558, 5.859871745109558, -2.2490729093551636, -6.249072909355164)"
2025/09/16/13:35:23.400374,"(4.86259138584137, 4.86259138584137, -3.1359084844589233, -7.135908484458923)"
2025/09/16/13:35:23.503394,"(4.43199098110199, 4.43199098110199, -3.5659302473068237, -7.565930247306824)"
2025/09/16/13:35:23.600347,"(3.717087149620056, 3.717087149620056, -3.989206075668335, -7.989206075668335)"
2025/09/16/13:35:23.700274,"(3.717087149620056, 3.717087149620056, -3.989206075668335, -7.989206075668335)"
2025/09/16/13:35:23.800322,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:23.900331,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:24.000284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:24.100303,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:35:24.200335,"(-0.0, -0.0, -1.8123915195465088, 1.8123915195465088)"
2025/09/16/13:35:24.300293,"(-0.0, -0.0, -1.8123915195465088, 1.8123915195465088)"
2025/09/16/13:35:24.400279,"(-0.0, -0.0, -1.2160918712615967, 1.2160918712615967)"
2025/09/16/13:35:24.500282,"(-0.0, -0.0, -1.0529624223709106, 1.0529624223709106)"
2025/09/16/13:35:24.600338,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:35:24.700363,"(-0.0, -0.0, 2.0, -2.0)"
