time,.data
2025/09/16/13:37:28.100239,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.200241,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.300348,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.400346,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.500331,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.600280,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.700252,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.800330,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:28.900321,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.000236,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.100275,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.200272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.300296,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.400382,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.500325,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.600240,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.700273,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.800269,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:29.900339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.000303,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.100306,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.200309,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.300390,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.400269,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.500264,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.600250,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.700249,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.832608,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:30.900284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.000308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.100268,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.200250,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.300261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.400282,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.500465,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.600372,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.700279,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.800288,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:31.900298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:32.000313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:32.100267,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:32.200397,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:37:32.300335,"(5.789133310317993, 5.789133310317993, 0.0, 0.0)"
2025/09/16/13:37:32.400312,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:37:32.500321,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:37:32.600367,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:37:32.700264,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:37:32.800378,"(6.0, 6.0, 0.0, 0.0)"
2025/09/16/13:37:32.900389,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:33.000453,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:33.100393,"(6.0, 6.0, 3.2864643335342407, 2.5806643962860107)"
2025/09/16/13:37:33.200349,"(6.0, 6.0, 4.933564364910126, 0.9335643649101257)"
2025/09/16/13:37:33.300426,"(6.0, 6.0, 4.933564364910126, 0.9335643649101257)"
2025/09/16/13:37:33.400301,"(6.0, 6.0, 5.100484490394592, 1.1004844903945923)"
2025/09/16/13:37:33.500369,"(1.785361647605896, 1.785361647605896, 0.3447595685720444, 0.3447595685720444)"
2025/09/16/13:37:33.600303,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:33.700436,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:33.800315,"(3.8369765281677246, 3.8369765281677246, 1.0758320540189743, 0.908956840634346)"
2025/09/16/13:37:33.900349,"(5.7781466245651245, 5.7781466245651245, 2.1949940621852875, 0.6783654391765594)"
2025/09/16/13:37:34.000351,"(6.0, 6.0, 5.15252685546875, 1.15252685546875)"
2025/09/16/13:37:34.100452,"(3.7313504219055176, 3.7313504219055176, 5.318868517875671, 1.3188685178756714)"
2025/09/16/13:37:34.200313,"(-0.0, -0.0, 1.1649492979049683, -1.1649492979049683)"
2025/09/16/13:37:34.300347,"(-0.0, -0.0, 1.1649492979049683, -1.1649492979049683)"
2025/09/16/13:37:34.400280,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:34.500283,"(2.349921941757202, 2.349921941757202, 7.182874917984009, 4.817125082015991)"
2025/09/16/13:37:34.600284,"(2.349921941757202, 2.349921941757202, 7.992804050445557, 4.007195949554443)"
2025/09/16/13:37:34.700735,"(2.0542457699775696, 2.0542457699775696, 5.989826083183289, 2.5353041887283325)"
2025/09/16/13:37:34.800376,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:34.900282,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:35.000301,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:35.100280,"(3.0553815364837646, 3.0553815364837646, 0.9869974851608276, 0.9869974851608276)"
2025/09/16/13:37:35.200351,"(4.827510952949524, 4.827510952949524, 5.050113081932068, 1.719849705696106)"
2025/09/16/13:37:35.300513,"(5.336945056915283, 5.336945056915283, 5.458225727081299, 1.4582257270812988)"
2025/09/16/13:37:35.400359,"(2.52011901140213, 2.52011901140213, 1.381595365703106, -0.944191224873066)"
2025/09/16/13:37:35.500311,"(1.4534488320350647, 1.4534488320350647, 0.9545964598655701, -0.9545964598655701)"
2025/09/16/13:37:35.600279,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:35.700238,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:35.800270,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:35.900269,"(-0.0, -0.0, 0.0, 0.0)"
2025/09/16/13:37:36.000319,"(-0.0, -0.0, 0.12097857892513275, 0.12097857892513275)"
2025/09/16/13:37:36.100374,"(1.0881904363632202, 1.0881904363632202, 1.574665129184723, -1.3099636435508728)"
2025/09/16/13:37:36.200319,"(1.364013522863388, 1.364013522863388, 1.8531224876642227, -1.1609048694372177)"
2025/09/16/13:37:36.300415,"(1.6446552872657776, 1.6446552872657776, 0.3461088091135025, 0.3461088091135025)"
2025/09/16/13:37:36.400297,"(3.023192524909973, 3.023192524909973, 1.227354884147644, 1.227354884147644)"
2025/09/16/13:37:36.500603,"(3.023192524909973, 3.023192524909973, 1.2817099392414093, 1.2817099392414093)"
2025/09/16/13:37:36.601217,"(1.000489890575409, 1.000489890575409, 0.0, 0.0)"
