time,.data
2025/09/16/13:26:44.200352,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:44.301822,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:44.400315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:44.500265,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:44.600271,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:44.700284,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:26:44.800259,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:44.900231,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:45.000264,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:45.100279,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:45.200279,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:45.300362,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:45.400286,"(-0.0, -0.0, 2.0, -2.0)"
2025/09/16/13:26:45.500257,"(-0.0, -0.0, 2.0, -2.0)"
