time,.data
2025/09/16/13:28:33.600296,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:33.700298,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:33.802339,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:33.900683,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.007324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.103261,"(5.968582034111023, 5.968582034111023, 0.0, 0.0)"
2025/09/16/13:28:34.200407,"(5.968582034111023, 5.968582034111023, 0.0, 0.0)"
2025/09/16/13:28:34.300435,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.400300,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.500308,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.603319,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.700351,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.800782,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:34.900370,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.000391,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.100294,"(1.292696624994278, 1.292696624994278, 0.11249764636158943, 0.11249764636158943)"
2025/09/16/13:28:35.200280,"(1.292696624994278, 1.292696624994278, 0.11249764636158943, 0.11249764636158943)"
2025/09/16/13:28:35.300276,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.400417,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.506304,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.600293,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.700285,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.804897,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:35.900247,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:36.000345,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:36.100290,"(5.959330201148987, 5.959330201148987, 3.0328298807144165, 3.0328298807144165)"
2025/09/16/13:28:36.204422,"(5.830766916275024, 5.830766916275024, 3.150020956993103, 3.150020956993103)"
2025/09/16/13:28:36.300333,"(5.830766916275024, 5.830766916275024, 3.150020956993103, 3.150020956993103)"
2025/09/16/13:28:36.400261,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:36.500290,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:36.600326,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:36.700346,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:36.800294,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:36.900272,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:37.000365,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:37.100274,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:37.200466,"(1.5841323137283325, 1.5841323137283325, -4.304883003234863, -2.0984718799591064)"
2025/09/16/13:28:37.300350,"(1.50818932056427, 1.50818932056427, -5.094702124595642, -3.54839026927948)"
2025/09/16/13:28:37.400392,"(1.50818932056427, 1.50818932056427, -5.094702124595642, -3.54839026927948)"
2025/09/16/13:28:37.500324,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:37.600296,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:37.700281,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:37.800277,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:37.900311,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.000313,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.100376,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.200269,"(-0.0, -0.0, 3.8718641996383667, 3.8718641996383667)"
2025/09/16/13:28:38.300395,"(-0.0, -0.0, 3.8718641996383667, 3.8718641996383667)"
2025/09/16/13:28:38.400270,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.500377,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.600295,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.700315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.803332,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:38.900413,"(3.9713222980499268, 3.9713222980499268, 0.879251092672348, 0.879251092672348)"
2025/09/16/13:28:39.000462,"(3.9713222980499268, 3.9713222980499268, 0.879251092672348, 0.879251092672348)"
2025/09/16/13:28:39.103259,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:39.200377,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:39.300315,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:39.400262,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:39.500621,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:39.600415,"(0.0, 0.0, 0.0, 0.0)"
2025/09/16/13:28:39.700389,"(0.0, 0.0, 0.0, 0.0)"
